==26265== NVPROF is profiling process 26265, command: ./convolutionTexture
==26265== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26265== Profiling application: ./convolutionTexture
==26265== Profiling result:
==26265== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"sm_efficiency","Multiprocessor Activity",99.759294%,99.792333%,99.782900%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"achieved_occupancy","Achieved Occupancy",0.833987,0.841375,0.838700
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"ipc","Executed IPC",1.294813,1.301739,1.295856
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"issued_ipc","Issued IPC",1.293594,1.303197,1.296164
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"inst_per_warp","Instructions per warp",95.000000,95.000000,95.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.947368%,98.947368%,98.947368%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000073,0.000077,0.000074
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"issue_slot_utilization","Issue Slot Utilization",29.276308%,29.493645%,29.334455%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gst_transactions","Global Store Transactions",589824,589824,589824
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"dram_read_transactions","Device Memory Read Transactions",589840,589920,589863
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"dram_write_transactions","Device Memory Write Transactions",591359,591613,591557
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gst_requested_throughput","Requested Global Store Throughput",12.974471GB/s,14.167441GB/s,14.034100GB/s
