==17590== NVPROF is profiling process 17590, command: ./binomialOptions
==17590== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17590== Profiling application: ./binomialOptions
==17590== Profiling result:
==17590== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"sm_efficiency","Multiprocessor Activity",99.262146%,99.262146%,99.262146%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"achieved_occupancy","Achieved Occupancy",0.981031,0.981031,0.981031
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"ipc","Executed IPC",3.446907,3.446907,3.446907
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"issued_ipc","Issued IPC",3.450967,3.450967,3.450967
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_per_warp","Instructions per warp",59120.000000,59120.000000,59120.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"warp_execution_efficiency","Warp Execution Efficiency",86.163523%,86.163523%,86.163523%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.360371%,84.360371%,84.360371%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000002,0.000002,0.000002
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"issue_slot_utilization","Issue Slot Utilization",81.359611%,81.359611%,81.359611%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_store_transactions","Shared Store Transactions",8389632,8389632,8389632
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_load_transactions","Shared Load Transactions",8388608,8388608,8388608
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gst_transactions","Global Store Transactions",1024,1024,1024
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"dram_read_transactions","Device Memory Read Transactions",96,96,96
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"dram_write_transactions","Device Memory Write Transactions",264,264,264
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gst_requested_throughput","Requested Global Store Throughput",494.906250KB/s,494.906250KB/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gst_throughput","Global Store Throughput",3.866459MB/s,3.866459MB/s,3.814697MB/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"dram_read_throughput","Device Memory Read Throughput",371.179688KB/s,371.179688KB/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"dram_write_throughput","Device Memory Write Throughput",0.996821MB/s,0.996821MB/s,976.562500KB/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"tex_cache_throughput","Unified Cache Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_load_throughput","Shared Memory Load Throughput",123.726698GB/s,123.726698GB/s,123.726204GB/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_store_throughput","Shared Memory Store Throughput",123.741801GB/s,123.741801GB/s,123.741105GB/s
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"tex_cache_transactions","Unified Cache Transactions",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"special_fu_utilization","Special Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","High (7)","High (7)","High (7)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_sp","Floating Point Operations(Single Precision)",6511611904,6511611904,6511611904
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",2170536960,2170536960,2170536960
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",2170537984,2170537984,2170537984
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",2098176,2098176,2098176
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_executed","Instructions Executed",242155520,242155520,242155520
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_issued","Instructions Issued",242155904,242155904,242155904
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"tex_utilization","Unified Cache Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_efficiency","Shared Memory Efficiency",99.994088%,99.994088%,99.994088%
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_fp_32","FP Instructions(Single)",4349467648,4349467648,4349467648
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_integer","Integer Instructions",556533760,556533760,556533760
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_bit_convert","Bit-Convert Instructions",2097152,2097152,2097152
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_control","Control-Flow Instructions",553910272,553910272,553910272
"GeForce GTX 950 (0)","binomialOptionsKernel(void)",1,"inst_compute_ld_st","Load/Store Instructions",537528320,537528320,537528320
