==28348== NVPROF is profiling process 28348, command: ./freeImageInteropNPP
==28348== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28348== Profiling application: ./freeImageInteropNPP
==28348== Profiling result:
==28348== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"sm_efficiency","Multiprocessor Activity",96.683055%,96.683055%,96.683055%
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"achieved_occupancy","Achieved Occupancy",0.891468,0.891468,0.891468
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"ipc","Executed IPC",3.249584,3.249584,3.249584
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"issued_ipc","Issued IPC",3.246496,3.246496,3.246496
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"inst_per_warp","Instructions per warp",4662.310547,4662.310547,4662.310547
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"branch_efficiency","Branch Efficiency",99.826396%,99.826396%,99.826396%
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"warp_execution_efficiency","Warp Execution Efficiency",71.699861%,71.699861%,71.699861%
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",67.554255%,67.554255%,67.554255%
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000106,0.000106,0.000106
"GeForce GTX 950 (0)","void ForEachPixelByte<unsigned char, int=1, FilterBoxReplicateBorderFunctor<unsigned char, int=1>>(Pixel<unsigned char, int=1>*, int, int, int, int, int, int, unsigned char)",1,"issue_slot_utilization","Issue Slot Utilization",74.194364%,74.194364%,74.194364%
