==32491== NVPROF is profiling process 32491, command: ./histEqualizationNPP
==32491== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==32491== Profiling application: ./histEqualizationNPP
==32491== Profiling result:
==32491== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"sm_efficiency","Multiprocessor Activity",86.983278%,86.983278%,86.983278%
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.776275,0.776275,0.776275
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"ipc","Executed IPC",2.837435,2.837435,2.837435
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"issued_ipc","Issued IPC",2.911928,2.911928,2.911928
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"inst_per_warp","Instructions per warp",1226.333333,1226.333333,1226.333333
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",68.279424%,68.279424%,68.279424%
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.001631,0.001631,0.001631
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"issue_slot_utilization","Issue Slot Utilization",65.488758%,65.488758%,65.488758%
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",94.645833,94.645833,94.645833
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",47.822917,47.822917,47.822917
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_store_transactions","Shared Store Transactions",36728,36728,36728
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_load_transactions","Shared Load Transactions",36344,36344,36344
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gld_transactions","Global Load Transactions",32768,32768,32768
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gst_transactions","Global Store Transactions",1536,1536,1536
"GeForce GTX 950 (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",3579,3579,3579
