==6150== NVPROF is profiling process 6150, command: ./MersenneTwisterGP11213
==6150== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6150== Profiling application: ./MersenneTwisterGP11213
==6150== Profiling result:
==6150== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sm_efficiency","Multiprocessor Activity",55.861439%,67.032021%,63.347064%
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"achieved_occupancy","Achieved Occupancy",0.725204,0.833367,0.774269
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"ipc","Executed IPC",1.150224,1.378625,1.279111
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"issued_ipc","Issued IPC",1.148413,1.508886,1.336076
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_per_warp","Instructions per warp",130.000000,130.000000,130.000000
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.162673%,96.163236%,96.162886%
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_replay_overhead","Instruction Replay Overhead",0.011538,0.011538,0.011538
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"issue_slot_utilization","Issue Slot Utilization",26.090368%,34.279823%,30.353809%
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
