==17921== NVPROF is profiling process 17921, command: ./simpleCUBLAS
==17921== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17921== Profiling application: ./simpleCUBLAS
==17921== Profiling result:
==17921== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"sm_efficiency","Multiprocessor Activity",83.864172%,83.864172%,83.864172%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"achieved_occupancy","Achieved Occupancy",0.138359,0.138359,0.138359
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"ipc","Executed IPC",3.180659,3.180659,3.180659
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"issued_ipc","Issued IPC",3.184135,3.184135,3.184135
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"inst_per_warp","Instructions per warp",21576.000000,21576.000000,21576.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.594078%,98.594078%,98.594078%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000315,0.000315,0.000315
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"issue_slot_utilization","Issue Slot Utilization",72.116219%,72.116219%,72.116219%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.933775,1.933775,1.933775
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.190889,1.190889,1.190889
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.976389,6.976389,6.976389
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gst_transactions_per_request","Global Store Transactions Per Request",2.981795,2.981795,2.981795
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_store_transactions","Shared Store Transactions",32940,32940,32940
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_load_transactions","Shared Load Transactions",140160,140160,140160
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gld_transactions","Global Load Transactions",190874,190874,190874
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gst_transactions","Global Store Transactions",11629,11629,11629
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"dram_read_transactions","Device Memory Read Transactions",10367,10367,10367
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"dram_write_transactions","Device Memory Write Transactions",10213,10213,10213
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"global_hit_rate","Global Hit Rate",58.074437%,58.074437%,58.074437%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gld_requested_throughput","Requested Global Load Throughput",33.538201GB/s,33.538201GB/s,33.537857GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gst_requested_throughput","Requested Global Store Throughput",4.193107GB/s,4.193107GB/s,4.192814GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gld_throughput","Global Load Throughput",84.648867GB/s,84.648867GB/s,84.648840GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gst_throughput","Global Store Throughput",5.157233GB/s,5.157233GB/s,5.156733GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"dram_read_throughput","Device Memory Read Throughput",4.597561GB/s,4.597561GB/s,4.597008GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"dram_write_throughput","Device Memory Write Throughput",4.529265GB/s,4.529265GB/s,4.529022GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"tex_cache_throughput","Unified Cache Throughput",34.010951GB/s,34.010951GB/s,34.010038GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_load_throughput","Shared Memory Load Throughput",248.632818GB/s,248.632818GB/s,248.632394GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"shared_store_throughput","Shared Memory Store Throughput",58.432970GB/s,58.432970GB/s,58.432110GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gld_efficiency","Global Memory Load Efficiency",39.620378%,39.620378%,39.620378%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"gst_efficiency","Global Memory Store Efficiency",81.305357%,81.305357%,81.305357%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"tex_cache_transactions","Unified Cache Transactions",76691,76691,76691
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn_splitK",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
