==12340== NVPROF is profiling process 12340, command: ./MC_EstimatePiInlineQ 0
==12340== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12340== Profiling application: ./MC_EstimatePiInlineQ 0
==12340== Profiling result:
==12340== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"inst_per_warp","Instructions per warp",379.150256,379.150256,379.150256
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",97.819961%,97.819961%,97.819961%
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.501222%,96.501222%,96.501222%
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.007113,0.007113,0.007113
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",14.663254,14.663254,14.663254
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",32.000000,32.000000,32.000000
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_store_transactions","Shared Store Transactions",4692,4692,4692
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_load_transactions","Shared Load Transactions",6647,6647,6647
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"local_load_transactions","Local Load Transactions",275024,275024,275024
"GeForce GTX 1080 Ti (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"local_store_transactions","Local Store Transactions",487920,487920,487920
