==9571== NVPROF is profiling process 9571, command: ./SobolQRNG 0
==9571== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9571== Profiling application: ./SobolQRNG 0
==9571== Profiling result:
==9571== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"inst_per_warp","Instructions per warp",386.847656,386.847656,386.847656
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.802753%,97.802753%,97.802753%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000099,0.000099,0.000099
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_store_transactions","Shared Store Transactions",12800,12800,12800
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_load_transactions","Shared Load Transactions",645300,645300,645300
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_transactions","Global Load Transactions",102400,102400,102400
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_transactions","Global Store Transactions",1250000,1250000,1250000
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_read_transactions","L2 Read Transactions",51344,51344,51344
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_write_transactions","L2 Write Transactions",1250013,1250013,1250013
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",15.926259GB/s,15.926259GB/s,15.925616GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",388.824672GB/s,388.824672GB/s,388.824381GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_throughput","Global Load Throughput",15.926259GB/s,15.926259GB/s,15.925616GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_throughput","Global Store Throughput",388.824672GB/s,388.824672GB/s,388.824381GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",99.304688%,99.304688%,99.304688%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",15.926259GB/s,15.926259GB/s,15.925616GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",15.926259GB/s,15.926259GB/s,15.925616GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",388.824672GB/s,388.824672GB/s,388.824381GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_read_throughput","L2 Throughput (Reads)",15.971051GB/s,15.971051GB/s,15.970320GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"l2_write_throughput","L2 Throughput (Writes)",388.828716GB/s,388.828716GB/s,388.828106GB/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"sysmem_write_throughput","System Memory Write Throughput",1.592626MB/s,1.592626MB/s,976.562500KB/s
