==24516== NVPROF is profiling process 24516, command: ./lineOfSight 0
==24516== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24516== Profiling application: ./lineOfSight 0
==24516== Profiling result:
==24516== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"inst_per_warp","Instructions per warp",79.440625,79.440625,79.440625
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"warp_execution_efficiency","Warp Execution Efficiency",99.801591%,99.801837%,99.801692%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.114187%,96.114187%,96.114187%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"inst_replay_overhead","Instruction Replay Overhead",0.037489,0.037489,0.037489
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions_per_request","Global Store Transactions Per Request",3.993610,3.993610,3.993610
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions","Global Store Transactions",1250,1250,1250
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_read_transactions","L2 Read Transactions",3238,3250,3242
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_write_transactions","L2 Write Transactions",1263,1263,1263
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gst_requested_throughput","Requested Global Store Throughput",11.521552GB/s,12.787222GB/s,12.522563GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gst_throughput","Global Store Throughput",11.522704GB/s,12.788501GB/s,12.524426GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"tex_cache_hit_rate","Unified Cache Hit Rate",47.374718%,47.574106%,47.459391%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",31.031923%,32.925926%,32.661002%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"tex_cache_throughput","Unified Cache Throughput",23.045409GB/s,25.577002GB/s,25.048852GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",24.879823GB/s,27.653854GB/s,27.075410GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",11.522704GB/s,12.788501GB/s,12.524426GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_read_throughput","L2 Throughput (Reads)",29.903722GB/s,33.168256GB/s,32.491982GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"l2_write_throughput","L2 Throughput (Writes)",11.642540GB/s,12.921501GB/s,12.654811GB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"sysmem_write_throughput","System Memory Write Throughput",47.196997MB/s,52.381699MB/s,50.544739MB/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"gst_efficiency","Global Memory Store Efficiency",99.990000%,99.990000%,99.990000%
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"tex_cache_transactions","Unified Cache Transactions",2500,2500,2500
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",529954,529954,529954
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",79995,79995,79995
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",189983,189983,189983
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",69993,69993,69993
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",29998,29998,29998
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"inst_executed","Instructions Executed",25421,25421,25421
"GeForce GTX 1080 Ti (0)","computeAngles_kernel(Ray, float*)",100,"inst_issued","Instructions Issued",26374,26374,26374
