==23004== NVPROF is profiling process 23004, command: ./FDTD3d
==23004== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23004== Profiling application: ./FDTD3d
==23004== Profiling result:
==23004== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"sm_efficiency","Multiprocessor Activity",99.114395%,99.454208%,99.288209%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"achieved_occupancy","Achieved Occupancy",0.747695,0.748370,0.748037
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"ipc","Executed IPC",1.916550,1.955725,1.932967
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"issued_ipc","Issued IPC",1.927638,1.964447,1.941800
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"inst_per_warp","Instructions per warp",33033.796875,33033.796875,33033.796875
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"branch_efficiency","Branch Efficiency",97.451429%,97.451429%,97.451429%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"warp_execution_efficiency","Warp Execution Efficiency",99.794919%,99.794919%,99.794919%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",74.635637%,74.635637%,74.635637%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"inst_replay_overhead","Instruction Replay Overhead",0.000011,0.000012,0.000012
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"issue_slot_utilization","Issue Slot Utilization",38.738124%,39.477853%,39.022725%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.700000,0.700000,0.700000
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gld_transactions_per_request","Global Load Transactions Per Request",2.788312,2.788312,2.788312
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gst_transactions_per_request","Global Store Transactions Per Request",3.915116,3.915116,3.915116
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_store_transactions","Shared Store Transactions",6064128,6064128,6064128
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_load_transactions","Shared Load Transactions",27154944,27154944,27154944
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gld_transactions","Global Load Transactions",24258048,24258048,24258048
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gst_transactions","Global Store Transactions",6644672,6644672,6644672
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"dram_read_transactions","Device Memory Read Transactions",11761453,12092536,11948418
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"dram_write_transactions","Device Memory Write Transactions",6655502,6656532,6655938
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"global_hit_rate","Global Hit Rate",42.556829%,42.556829%,42.556829%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gld_requested_throughput","Requested Global Load Throughput",39.968068GB/s,40.280884GB/s,40.091574GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gst_requested_throughput","Requested Global Store Throughput",21.895801GB/s,22.067172GB/s,21.963380GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gld_throughput","Global Load Throughput",45.917851GB/s,46.277235GB/s,46.059489GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gst_throughput","Global Store Throughput",21.895801GB/s,22.067172GB/s,21.963380GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"dram_read_throughput","Device Memory Read Throughput",39.060169GB/s,39.847831GB/s,39.494596GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"dram_write_throughput","Device Memory Write Throughput",21.932375GB/s,22.106560GB/s,21.999702GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"tex_cache_throughput","Unified Cache Throughput",45.917851GB/s,46.277235GB/s,46.059489GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_load_throughput","Shared Memory Load Throughput",357.928434GB/s,360.729819GB/s,359.042548GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"shared_store_throughput","Shared Memory Store Throughput",79.931074GB/s,80.556668GB/s,80.179423GB/s
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gld_efficiency","Global Memory Load Efficiency",87.042549%,87.042549%,87.042549%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"tex_cache_transactions","Unified Cache Transactions",13934592,13934592,13934592
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Mid (4)","Low (3)"
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_sp","Floating Point Operations(Single Precision)",1574986752,1574986752,1574986752
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",1086197760,1086197760,1086197760
"GeForce GTX 950 (0)","FiniteDifferencesKernel(float*, float const *, int, int, int)",5,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",217239552,217239552,217239552
