======== Profiling result:
======== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"sm_efficiency","Multiprocessor Activity",31.012638%,91.062458%,60.122612%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"achieved_occupancy","Achieved Occupancy",0.455178,0.860282,0.729904
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"ipc","Executed IPC",0.869366,2.700409,2.056157
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"issued_ipc","Issued IPC",0.925147,2.702260,2.108644
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"inst_per_warp","Instructions per warp",55.250000,58.000000,57.312500
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"warp_execution_efficiency","Warp Execution Efficiency",87.556561%,100.000000%,96.889140%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.314480%,94.827586%,91.949310%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"inst_replay_overhead","Instruction Replay Overhead",0.002416,0.069853,0.029619
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"issue_slot_utilization","Issue Slot Utilization",21.294031%,61.747978%,48.273102%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_transactions_per_request","Global Store Transactions Per Request",3.333333,4.000000,3.833333
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_transactions","Global Store Transactions",600,38400,12750
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"dram_read_transactions","Device Memory Read Transactions",0,9616,2394
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"dram_write_transactions","Device Memory Write Transactions",400,38039,12361
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_requested_throughput","Requested Global Store Throughput",4.901698GB/s,37.487198GB/s,31.705946GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_throughput","Global Store Throughput",4.901698GB/s,37.487198GB/s,31.705946GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,9.338475GB/s,5.953014GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"dram_write_throughput","Device Memory Write Throughput",3.267799GB/s,37.134779GB/s,30.739233GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"tex_cache_throughput","Unified Cache Throughput",9.803396GB/s,74.974396GB/s,63.413754GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",8,"tex_cache_transactions","Unified Cache Transactions",1200,76800,25500
