==6124== NVPROF is profiling process 6124, command: ./cuSolverSp_LinearSolver
==6124== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6124== Profiling application: ./cuSolverSp_LinearSolver
==6124== Profiling result:
==6124== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"sm_efficiency","Multiprocessor Activity",84.337578%,85.894468%,85.116023%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"achieved_occupancy","Achieved Occupancy",0.819486,0.828297,0.823892
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"ipc","Executed IPC",1.002806,1.110633,1.056719
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"issued_ipc","Issued IPC",1.041641,1.088384,1.065013
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_per_warp","Instructions per warp",129.888179,129.888179,129.888179
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"branch_efficiency","Branch Efficiency",99.968015%,99.968015%,99.968015%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_execution_efficiency","Warp Execution Efficiency",85.679844%,85.679883%,85.679863%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",68.201636%,68.201674%,68.201655%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_replay_overhead","Instruction Replay Overhead",0.004138,0.004538,0.004338
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"issue_slot_utilization","Issue Slot Utilization",24.048228%,25.126467%,24.587347%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.666667,1.666667,1.666667
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.500000,1.500000,1.500000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions_per_request","Global Load Transactions Per Request",5.098482,5.098482,5.098482
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions","Shared Store Transactions",3750,3750,3750
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions","Shared Load Transactions",12500,12500,12500
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions","Global Load Transactions",51046,51046,51046
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions","Global Store Transactions",2500,2500,2500
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_read_transactions","Device Memory Read Transactions",15475,15483,15479
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_write_transactions","Device Memory Write Transactions",5607,5872,5739
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"global_hit_rate","Global Hit Rate",24.622889%,24.622889%,24.622889%
