==12094== NVPROF is profiling process 12094, command: ./batchCUBLAS 0
==12094== Profiling application: ./batchCUBLAS 0
==12094== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,us,,,,,,,,KB,B,KB,MB/s,,,,
1.176737,1.089000,,,,,,,,,,0.109375,98.082207,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.177872,116.582000,,,,,,,,,,64.000000,536.103343,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.178046,116.870000,,,,,,,,,,64.000000,534.782236,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.178220,118.758000,,,,,,,,,,64.000000,526.280334,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.178341,17.088000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2305]"
1.180968,335.601000,,,,,,,,,,128.000000,372.466112,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.181315,336.369000,,,,,,,,,,128.000000,371.615695,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.181662,338.994000,,,,,,,,,,128.000000,368.738090,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.182005,24.961000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2334]"
1.182853,118.022000,,,,,,,,,,64.000000,529.562284,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183027,118.534000,,,,,,,,,,64.000000,527.274875,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183201,118.278000,,,,,,,,,,64.000000,528.416104,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183374,118.438000,,,,,,,,,,64.000000,527.702257,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183547,118.438000,,,,,,,,,,64.000000,527.702257,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183722,118.054000,,,,,,,,,,64.000000,529.418740,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.183895,118.598000,,,,,,,,,,64.000000,526.990336,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184069,117.927000,,,,,,,,,,64.000000,529.988891,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184242,118.246000,,,,,,,,,,64.000000,528.559105,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184416,117.830000,,,,,,,,,,64.000000,530.425188,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184589,118.182000,,,,,,,,,,64.000000,528.845340,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184764,117.798000,,,,,,,,,,64.000000,530.569279,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.184937,118.054000,,,,,,,,,,64.000000,529.418740,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185111,118.118000,,,,,,,,,,64.000000,529.131885,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185284,118.054000,,,,,,,,,,64.000000,529.418740,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185458,118.502000,,,,,,,,,,64.000000,527.417258,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185632,117.894000,,,,,,,,,,64.000000,530.137241,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185805,118.182000,,,,,,,,,,64.000000,528.845340,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.185979,117.862000,,,,,,,,,,64.000000,530.281176,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.186152,118.150000,,,,,,,,,,64.000000,528.988573,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.186328,116.230000,,,,,,,,,,64.000000,537.726920,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.186499,117.798000,,,,,,,,,,64.000000,530.569279,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.186672,118.726000,,,,,,,,,,64.000000,526.422182,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.186846,118.246000,,,,,,,,,,64.000000,528.559105,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187019,118.086000,,,,,,,,,,64.000000,529.275273,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187194,117.094000,,,,,,,,,,64.000000,533.759202,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187367,118.182000,,,,,,,,,,64.000000,528.845340,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187541,118.086000,,,,,,,,,,64.000000,529.275273,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187714,117.798000,,,,,,,,,,64.000000,530.569279,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.187887,120.294000,,,,,,,,,,64.000000,519.560410,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.188031,12.193000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2425]"
1.188044,12.256000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2452]"
1.188058,12.224000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2479]"
1.188072,12.193000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2506]"
1.188085,12.193000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2533]"
1.188099,12.192000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2560]"
1.188112,12.193000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2587]"
1.188126,12.193000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2614]"
1.188140,12.192000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2641]"
1.188153,12.225000,1,2,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2668]"
1.192175,335.601000,,,,,,,,,,128.000000,372.466112,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.192522,336.305000,,,,,,,,,,128.000000,371.686415,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.192869,336.241000,,,,,,,,,,128.000000,371.757162,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.193217,336.434000,,,,,,,,,,128.000000,371.543899,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.193565,336.369000,,,,,,,,,,128.000000,371.615695,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.193913,336.273000,,,,,,,,,,128.000000,371.721786,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.194261,336.241000,,,,,,,,,,128.000000,371.757162,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.194608,336.177000,,,,,,,,,,128.000000,371.827935,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.194958,336.690000,,,,,,,,,,128.000000,371.261397,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.195308,336.145000,,,,,,,,,,128.000000,371.863333,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.195656,336.241000,,,,,,,,,,128.000000,371.757162,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.196005,336.785000,,,,,,,,,,128.000000,371.156672,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.196353,336.305000,,,,,,,,,,128.000000,371.686415,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.196700,336.753000,,,,,,,,,,128.000000,371.191941,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.197049,335.057000,,,,,,,,,,128.000000,373.070850,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.197395,336.305000,,,,,,,,,,128.000000,371.686415,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.197743,336.177000,,,,,,,,,,128.000000,371.827935,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.198090,336.113000,,,,,,,,,,128.000000,371.898736,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.198438,335.154000,,,,,,,,,,128.000000,372.962876,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.198784,335.345000,,,,,,,,,,128.000000,372.750450,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.199131,336.401000,,,,,,,,,,128.000000,371.580345,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.199478,336.209000,,,,,,,,,,128.000000,371.792545,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.199825,336.466000,,,,,,,,,,128.000000,371.508562,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.200173,336.305000,,,,,,,,,,128.000000,371.686415,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.200521,336.721000,,,,,,,,,,128.000000,371.227218,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.200869,336.369000,,,,,,,,,,128.000000,371.615695,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.201216,336.498000,,,,,,,,,,128.000000,371.473232,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.201564,336.209000,,,,,,,,,,128.000000,371.792545,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.201911,336.241000,,,,,,,,,,128.000000,371.757162,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.202259,356.818000,,,,,,,,,,128.000000,350.318649,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.202619,25.058000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2778]"
1.202646,24.289000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2795]"
1.202671,24.321000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2812]"
1.202697,24.321000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2829]"
1.202722,24.289000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2846]"
1.202748,24.353000,8,8,1,16,4,1,48,4.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void gemm_kernel2x2_tile_multiple_core<double, bool=1, bool=0, bool=0, bool=0, bool=0>(double*, double const *, double const *, int, int, int, int, int, int, double*, double*, double, double, int) [2863]"
