==3723== NVPROF is profiling process 3723, command: ./convolutionSeparable 0
==3723== Profiling application: ./convolutionSeparable 0
==3723== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
802.304455,0.001024,,,,,,,,,,0.000065,63.329935,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
802.397548,96.809200,,,,,,,,,,36.000000,371.865483,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
899.210972,0.226251,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1169]"
899.438759,0.220683,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1177]"
899.680115,0.224172,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1186]"
899.905855,0.216939,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1194]"
900.124362,0.224715,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1202]"
900.350709,0.217963,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1210]"
900.570400,0.224812,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1218]"
900.796844,0.217547,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1226]"
901.015991,0.223819,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1234]"
901.241666,0.217355,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1242]"
901.460653,0.223819,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1250]"
901.686008,0.216683,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1258]"
901.904003,0.223756,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1266]"
902.129263,0.216843,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1274]"
902.347674,0.224203,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1282]"
902.573381,0.218603,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1290]"
902.793328,0.224108,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1298]"
903.018972,0.216971,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1306]"
903.237223,0.224331,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1314]"
903.463058,0.217515,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1322]"
903.681853,0.224363,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1330]"
903.907752,0.217995,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1338]"
904.127028,0.223691,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1346]"
904.352287,0.217995,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1354]"
904.571562,0.224459,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1362]"
904.797525,0.218539,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1370]"
905.017344,0.224716,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1378]"
905.243564,0.217099,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1386]"
905.461943,0.224459,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1394]"
905.688066,0.217419,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1402]"
905.906765,0.224716,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1410]"
906.132985,0.217387,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1418]"
906.351716,0.224491,24,768,1,16,4,1,30,2.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, float*, int, int, int) [1426]"
906.577743,0.218091,192,48,1,16,8,1,31,5.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, float*, int, int, int) [1434]"
906.817787,90.254885,,,,,,,,,,36.000000,398.870377,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
