==4275== NVPROF is profiling process 4275, command: ./convolutionTexture 0
==4275== Profiling application: ./convolutionTexture 0
==4275== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,GB/s,,,,
807.846478,0.000992,,,,,,,,,,0.000065,0.063841,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
807.962964,48.446223,,,,,,,,,,18.000000,0.362838,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoA]"
856.472070,0.247309,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1170]"
856.720691,0.248173,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1179]"
856.970144,0.247949,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1188]"
857.219405,0.248109,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1197]"
857.468794,0.247597,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1206]"
857.717703,0.247821,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1215]"
857.966836,0.247788,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1224]"
858.215937,0.247180,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1233]"
858.464461,0.247821,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1242]"
858.713594,0.247149,192,128,1,16,12,1,25,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionRowsKernel(float*, int, int) [1251]"
858.995049,0.117446,,,,,,,,,,18.000000,149.669848,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoA]"
859.141617,0.241804,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1265]"
859.384733,0.240461,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1274]"
859.626570,0.240396,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1283]"
859.868310,0.240173,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1292]"
860.109827,0.240684,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1301]"
860.351855,0.240557,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1310]"
860.593724,0.240268,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1319]"
860.835336,0.240365,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1328]"
861.077045,0.240396,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1337]"
861.318785,0.240429,192,128,1,16,12,1,26,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolutionColumnsKernel(float*, int, int) [1346]"
861.577295,44.537028,,,,,,,,,,18.000000,0.394686,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
