==20288== NVPROF is profiling process 20288, command: ./eigenvalues 0
==20288== Profiling application: ./eigenvalues 0
==20288== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,KB,GB/s,,,,
0.628957,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.628985,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.629925,0.000960,,,,,,,,,,0.003906,0.003881,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.629935,0.000832,,,,,,,,,,0.003906,0.004478,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.629983,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630010,0.001376,,,,,,,,,,8.000000,5.544618,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630037,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630065,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630092,0.001441,,,,,,,,,,8.000000,5.294514,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630119,0.001472,,,,,,,,,,8.000000,5.183013,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630146,0.001440,,,,,,,,,,8.000000,5.298191,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630173,0.001472,,,,,,,,,,8.000000,5.183013,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630200,0.001632,,,,,,,,,,8.000000,4.674874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630227,0.001441,,,,,,,,,,8.000000,5.294514,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630255,0.001568,,,,,,,,,,8.000000,4.865685,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630269,1.940740,1,1,1,256,1,1,35,8.046875,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1208]"
0.632224,0.000416,,,,,,,,,,0.003906,0.008955,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.632249,2.407804,1,1,1,256,1,1,26,2.003906,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [1221]"
0.634669,0.000384,,,,,,,,,,0.003906,0.009701,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.634689,5.236558,11,1,1,256,1,1,27,10.031250,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [1238]"
0.639944,1.939556,1,1,1,256,1,1,35,8.046875,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1261]"
0.641895,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.641912,2.407324,1,1,1,256,1,1,26,2.003906,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [1274]"
0.644329,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.644345,5.219597,11,1,1,256,1,1,27,10.031250,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [1291]"
0.649583,1.940229,1,1,1,256,1,1,35,8.046875,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1314]"
0.651534,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.651551,2.407484,1,1,1,256,1,1,26,2.003906,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [1327]"
0.653970,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.653989,5.232302,11,1,1,256,1,1,27,10.031250,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [1344]"
0.659243,1.940036,1,1,1,256,1,1,35,8.046875,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1367]"
0.661193,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.661209,2.407165,1,1,1,256,1,1,26,2.003906,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [1380]"
0.663626,0.000288,,,,,,,,,,0.003906,0.012935,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.663643,5.219533,11,1,1,256,1,1,27,10.031250,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [1397]"
0.668877,1.940036,1,1,1,256,1,1,35,8.046875,0,,,"GeForce GTX 1080 Ti (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1420]"
0.670827,0.000320,,,,,,,,,,0.003906,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
