==20913== NVPROF is profiling process 20913, command: ./fastWalshTransform 0
==20913== Profiling application: ./fastWalshTransform 0
==20913== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
785.257342,0.194890,,,,,,,,,,32.000000,160.346862,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
785.460777,0.000896,,,,,,,,,,0.000488,0.532184,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
785.575982,86.091473,,,,,,,,,,32.000000,0.362986,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
871.695136,0.169897,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1168]"
871.866345,0.173353,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1174]"
872.041010,0.173705,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1180]"
872.216059,0.173768,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1186]"
872.391171,0.173257,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1192]"
872.565740,0.172905,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1198]"
872.740245,0.248621,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch1Kernel(float*, float*, int) [1204]"
872.990210,0.173128,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1210]"
873.164618,0.173545,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1216]"
873.339827,0.173737,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1222]"
873.514876,0.173449,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1228]"
873.689637,0.172681,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1234]"
873.863662,0.172488,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1240]"
874.037462,0.250349,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch1Kernel(float*, float*, int) [1246]"
874.289379,0.266413,128,1,1,256,1,1,12,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","modulateKernel(float*, float*, int) [1252]"
874.557105,0.172936,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1257]"
874.731385,0.173897,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1263]"
874.906594,0.173481,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1269]"
875.081387,0.173481,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1275]"
875.256212,0.173353,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1281]"
875.430877,0.173224,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch2Kernel(float*, float*, int) [1287]"
875.605445,0.248685,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 1080 Ti (0)","1","7","fwtBatch1Kernel(float*, float*, int) [1293]"
875.874547,80.171974,,,,,,,,,,32.000000,0.389787,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
