==458== NVPROF is profiling process 458, command: ./mergeSort 0
==458== Profiling application: ./mergeSort 0
==458== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
687.637092,43.074439,,,,,,,,,,16.000000,371.449991,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
730.803248,43.071846,,,,,,,,,,16.000000,371.472353,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
773.906936,0.706788,4096,1,1,512,1,1,19,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeSortSharedKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int) [1177]"
774.615196,0.042050,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1186]"
774.669887,0.002976,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1194]"
774.674335,0.002592,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1202]"
774.678591,0.224076,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1213]"
774.904171,0.041954,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1224]"
774.947821,0.003232,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1232]"
