==6339== NVPROF is profiling process 6339, command: ./reduction 0
==6339== Profiling application: ./reduction 0
==6339== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,
1.001641,172.374877,,,,,,,,,,64.000000,0.362582,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.174025,0.000865,,,,,,,,,,0.000244,0.275628,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.174049,0.204490,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1168]"
1.174269,0.203658,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1174]"
1.174474,0.346898,,,,,,,,,,64.000000,180.168234,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.175715,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.175723,0.001504,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1184]"
1.175738,0.206922,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1191]"
1.175947,0.346993,,,,,,,,,,64.000000,180.118907,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.177185,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.177193,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1201]"
1.177208,0.206954,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1208]"
1.177417,0.346897,,,,,,,,,,64.000000,180.168753,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.179251,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.179260,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1218]"
1.179276,0.205707,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1225]"
1.179484,0.346898,,,,,,,,,,64.000000,180.168234,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.181402,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.181413,0.001697,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1235]"
1.181429,0.206731,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1242]"
1.181638,0.346834,,,,,,,,,,64.000000,180.201480,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.183549,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.183560,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1252]"
1.183576,0.206794,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1259]"
1.183784,0.346897,,,,,,,,,,64.000000,180.168753,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.185719,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.185730,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1269]"
1.185746,0.208266,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1276]"
1.185956,0.346834,,,,,,,,,,64.000000,180.201480,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.188452,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.188462,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1286]"
1.188478,0.206411,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1293]"
1.188687,0.346833,,,,,,,,,,64.000000,180.201999,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.190513,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.190522,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1303]"
1.190537,0.204683,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1310]"
1.190744,0.346929,,,,,,,,,,64.000000,180.152135,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.191995,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.192002,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1320]"
1.192017,0.207562,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1327]"
1.192227,0.346834,,,,,,,,,,64.000000,180.201480,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.194114,0.001184,,,,,,,,,,0.000244,0.201367,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.194124,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1337]"
1.194140,0.207755,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1344]"
1.194349,0.346833,,,,,,,,,,64.000000,180.201999,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.195573,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.195580,0.001697,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1354]"
1.195595,0.205931,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1361]"
1.195803,0.346962,,,,,,,,,,64.000000,180.135000,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.197042,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.197049,0.001697,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1371]"
1.197064,0.206027,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1378]"
1.197272,0.346866,,,,,,,,,,64.000000,180.184855,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.199123,0.001216,,,,,,,,,,0.000244,0.196068,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.199131,0.001696,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1388]"
1.199147,0.206602,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1395]"
1.199355,0.346930,,,,,,,,,,64.000000,180.151616,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
