==23335== NVPROF is profiling process 23335, command: ./threadFenceReduction 0
==23335== Profiling application: ./threadFenceReduction 0
==23335== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,MB/s,,,,
608.429282,10.769110,,,,,,,,,,4.000000,371.432736,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.206712,0.000928,,,,,,,,,,0.000244,263.082569,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.227065,0.022337,64,1,1,128,1,1,10,0,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1166]"
619.256539,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.274428,0.023265,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1174]"
619.307069,0.001152,,,,,,,,,,0.000004,3.311369,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.320318,0.023105,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1184]"
619.352000,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.364608,0.023266,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1194]"
619.396738,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.409891,0.023009,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1204]"
619.441412,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.453861,0.022945,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1214]"
619.485351,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.498151,0.022914,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1224]"
619.529737,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.542634,0.022721,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1234]"
619.573931,0.000928,,,,,,,,,,0.000004,4.110664,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.586828,0.023169,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1244]"
619.618638,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.631406,0.023362,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1254]"
619.664528,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.680721,0.022785,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1264]"
619.712435,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.725587,0.023489,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1274]"
619.759125,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
619.772886,0.023105,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 1080 Ti (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [1284]"
619.804887,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
