==10980== NVPROF is profiling process 10980, command: ./transpose 0
==10980== Profiling application: ./transpose 0
==10980== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
688.817243,10.773066,,,,,,,,,,4.000000,371.296342,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
705.995983,0.021825,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1170]"
706.023472,0.023969,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1177]"
706.048817,0.024161,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1184]"
706.074387,0.023905,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1191]"
706.099668,0.023969,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1198]"
706.125013,0.023745,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1205]"
706.150166,0.023970,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1212]"
706.175576,0.023809,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1219]"
706.200793,0.024161,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1226]"
706.226362,0.023970,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1233]"
706.251708,0.024129,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1240]"
706.301854,0.024097,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1247]"
706.327328,0.023809,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1254]"
