==24834== NVPROF is profiling process 24834, command: ./bh 30000 50 0
==24834== Profiling application: ./bh 30000 50 0
==24834== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,KB,MB/s,,,,
0.630368,0.307087,,,,,,,,,,117.187500,372.666110,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.630690,0.307984,,,,,,,,,,117.187500,371.580725,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.631013,0.307952,,,,,,,,,,117.187500,371.619336,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.631335,0.307407,,,,,,,,,,117.187500,372.278178,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.631657,0.308464,,,,,,,,,,117.187500,371.002508,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.631980,0.307951,,,,,,,,,,117.187500,371.620543,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.632303,0.307888,,,,,,,,,,117.187500,371.696584,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.632642,0.001760,1,1,1,1,1,1,11,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","InitializationKernel(int*) [1257]"
0.632667,0.015457,84,1,1,512,1,1,38,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","BoundingBoxKernel(int, int, int volatile *, int volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *) [1279]"
0.632701,0.002240,28,1,1,1024,1,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","ClearKernel1(int, int, int volatile *) [1290]"
0.632707,0.082757,84,1,1,512,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","TreeBuildingKernel(int, int, int volatile *, int volatile *, float volatile *, float volatile *, float volatile *) [1299]"
0.632792,0.002976,28,1,1,1024,1,1,10,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","ClearKernel2(int, int volatile *, float volatile *) [1304]"
