==31011== NVPROF is profiling process 31011, command: ./dmr ../../inputs/250k.2 20 0
==31011== Profiling application: ./dmr ../../inputs/250k.2 20 0
==31011== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
1.003247,56.494744,,,,,,,,,,20.980835,0.362673,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.059849,56.506968,,,,,,,,,,20.980835,0.362594,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.116457,339.076754,,,,,,,,,,125.884552,0.362555,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.455633,28.250220,,,,,,,,,,10.490379,0.362635,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.483981,28.267821,,,,,,,,,,10.490379,0.362409,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.512258,0.001057,,,,,,,,,,0.000004,0.003524,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.512265,0.000832,,,,,,,,,,0.000004,0.004478,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.512704,0.000992,,,,,,,,,,0.000004,0.003755,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.512711,0.000928,,,,,,,,,,0.000004,0.004014,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.514754,315.634456,,,,,,,,,,125.884552,0.389483,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.146909,338.929164,,,,,,,,,,125.884552,0.362713,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.482710,0.000718,,,,,,,,,,0.001282,1.743311,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
2.485856,0.000864,,,,,,,,,,0.000004,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.485881,0.244044,28,1,1,512,1,1,30,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","check_triangles(Mesh, unsigned int*, Worklist2, int) [1194]"
2.486127,0.000512,,,,,,,,,,0.000004,0.007276,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.486151,0.000832,,,,,,,,,,0.000004,0.004478,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.486160,0.000800,,,,,,,,,,0.000004,0.004657,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.487769,26.272648,336,1,1,64,1,1,80,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","refine(Mesh, int, unsigned int*, unsigned int*, GlobalBarrier, Worklist2, Worklist2) [1208]"
2.514044,0.001024,,,,,,,,,,0.000004,0.003638,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.514069,0.001248,,,,,,,,,,0.000004,0.002985,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.514082,0.000833,,,,,,,,,,0.000004,0.004472,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.514092,0.000832,,,,,,,,,,0.000004,0.004478,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.514109,0.456887,28,1,1,512,1,1,30,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","check_triangles(Mesh, unsigned int*, Worklist2, int) [1218]"
2.514568,0.000320,,,,,,,,,,0.000004,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.514595,19.533462,336,1,1,64,1,1,80,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","refine(Mesh, int, unsigned int*, unsigned int*, GlobalBarrier, Worklist2, Worklist2) [1228]"
2.534131,0.000384,,,,,,,,,,0.000004,0.009701,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.534151,0.001056,,,,,,,,,,0.000004,0.003528,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.534164,0.000864,,,,,,,,,,0.000004,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.534173,0.000960,,,,,,,,,,0.000004,0.003881,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.534185,0.509209,28,1,1,512,1,1,30,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","check_triangles(Mesh, unsigned int*, Worklist2, int) [1238]"
2.534697,0.000320,,,,,,,,,,0.000004,0.011642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.534727,17.204481,336,1,1,64,1,1,80,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","refine(Mesh, int, unsigned int*, unsigned int*, GlobalBarrier, Worklist2, Worklist2) [1248]"
2.551934,0.000384,,,,,,,,,,0.000004,0.009701,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.551949,0.001024,,,,,,,,,,0.000004,0.003638,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.551961,0.000864,,,,,,,,,,0.000004,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
