==3787== NVPROF is profiling process 3787, command: ./sssp ../../inputs/USA-road-d.FLA.gr
==3787== Profiling application: ./sssp ../../inputs/USA-road-d.FLA.gr
==3787== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,MB/s,,,,
0.785948,27.802522,,,,,,,,,,10.348507,372.214683,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.813847,27.796122,,,,,,,,,,10.348507,372.300385,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.841735,10.965449,,,,,,,,,,4.083164,372.366349,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.852792,10.964681,,,,,,,,,,4.083160,372.392083,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.863849,10.968969,,,,,,,,,,4.083160,372.246507,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.874908,11.023852,,,,,,,,,,4.083160,370.393252,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.885940,0.000897,,,,,,,,,,0.000004,4.252728,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.885947,0.000832,,,,,,,,,,0.000004,4.584972,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.887621,0.010369,1046,1,1,1024,1,1,8,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","initialize(unsigned int*, unsigned int) [1181]"
0.887647,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.887668,0.000896,,,,,,,,,,0.000001,1.064368,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.887733,0.362514,1046,1,1,1024,1,1,38,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","drelax(unsigned int*, Graph, bool*) [1191]"
0.888110,0.000672,,,,,,,,,,0.000001,1.419158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.888124,0.000864,,,,,,,,,,0.000001,1.103789,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.888142,0.359826,1046,1,1,1024,1,1,38,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","drelax(unsigned int*, Graph, bool*) [1200]"
0.888516,0.000672,,,,,,,,,,0.000001,1.419158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
