==1695== NVPROF is profiling process 1695, command: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat
==1695== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1695== Profiling application: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat
==1695== Profiling result:
==1695== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"sm_efficiency","Multiprocessor Activity",90.767239%,99.840973%,95.826243%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"achieved_occupancy","Achieved Occupancy",0.579411,0.583274,0.581552
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"ipc","Executed IPC",0.167955,0.217976,0.189233
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"issued_ipc","Issued IPC",0.171184,0.218226,0.191105
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"inst_per_warp","Instructions per warp",156.821429,12829.616071,3113.638393
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"branch_efficiency","Branch Efficiency",97.142057%,98.319468%,97.950578%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"warp_execution_efficiency","Warp Execution Efficiency",74.580456%,78.860493%,76.649019%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",64.747360%,69.717211%,66.956482%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"inst_replay_overhead","Instruction Replay Overhead",0.000378,0.030631,0.012782
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"issue_slot_utilization","Issue Slot Utilization",4.042599%,5.146853%,4.514626%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.283686,1.410215,1.310992
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.535567,0.694228,0.571602
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"gld_transactions_per_request","Global Load Transactions Per Request",1.936539,2.361681,2.064029
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"gst_transactions_per_request","Global Store Transactions Per Request",7.512044,7.852217,7.711336
