==15109== NVPROF is profiling process 15109, command: ./lbm 1 -i ../../datasets/lbm/short/input/120_120_150_ldc.of -o out -d 0
==15109== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15109== Profiling application: ./lbm 1 -i ../../datasets/lbm/short/input/120_120_150_ldc.of -o out -d 0
==15109== Profiling result:
==15109== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"inst_per_warp","Instructions per warp",360.423500,360.423500,360.423500
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",88.831797%,88.831797%,88.831797%
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",85.331519%,85.331519%,85.331519%
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000113,0.000113,0.000113
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",7.500000,7.500000,7.500000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.276316,4.276316,4.276316
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"gld_transactions","Global Load Transactions",10800000,10800000,10800000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"gst_transactions","Global Store Transactions",5850000,5850000,5850000
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"l2_read_transactions","L2 Read Transactions",5400960,5400960,5400960
"GeForce GTX 1080 Ti (0)","performStreamCollide_kernel(float*, float*)",1,"l2_write_transactions","L2 Write Transactions",5850013,5850013,5850013
