==15252== NVPROF is profiling process 15252, command: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin -d 0
==15252== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15252== Profiling application: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin -d 0
==15252== Profiling result:
==15252== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"inst_per_warp","Instructions per warp",70178.000000,70178.000000,70178.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",82.391406%,82.443302%,82.425742%
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"inst_replay_overhead","Instruction Replay Overhead",0.000035,0.000044,0.000041
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 1080 Ti (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
