==3861== NVPROF is profiling process 3861, command: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin
==3861== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3861== Profiling application: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin
==3861== Profiling result:
==3861== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"sm_efficiency","Multiprocessor Activity",92.221991%,96.794943%,95.186563%
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"achieved_occupancy","Achieved Occupancy",0.906180,0.910962,0.908060
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"ipc","Executed IPC",4.019017,4.033572,4.026460
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"issued_ipc","Issued IPC",4.025922,4.028053,4.027136
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"inst_per_warp","Instructions per warp",70179.000000,70179.000000,70179.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",82.391656%,82.443553%,82.425992%
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"inst_replay_overhead","Instruction Replay Overhead",0.000014,0.000016,0.000015
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"issue_slot_utilization","Issue Slot Utilization",88.889517%,88.936566%,88.916312%
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*)",3,"shared_store_transactions","Shared Store Transactions",0,0,0
