==4057== NVPROF is profiling process 4057, command: ./sgemm -i ../../datasets/sgemm/small/input/matrix1.txt,../../datasets/sgemm/small/input/matrix2.txt,../../datasets/sgemm/small/input/matrix2t.txt
==4057== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4057== Profiling application: ./sgemm -i ../../datasets/sgemm/small/input/matrix1.txt,../../datasets/sgemm/small/input/matrix2.txt,../../datasets/sgemm/small/input/matrix2t.txt
==4057== Profiling result:
==4057== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"sm_efficiency","Multiprocessor Activity",83.070676%,83.070676%,83.070676%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"achieved_occupancy","Achieved Occupancy",0.103846,0.103846,0.103846
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"ipc","Executed IPC",1.088354,1.088354,1.088354
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"issued_ipc","Issued IPC",1.024839,1.024839,1.024839
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_per_warp","Instructions per warp",3175.000000,3175.000000,3175.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.937008%,99.937008%,99.937008%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000945,0.000945,0.000945
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"issue_slot_utilization","Issue Slot Utilization",22.049517%,22.049517%,22.049517%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_store_transactions","Shared Store Transactions",480,480,480
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_load_transactions","Shared Load Transactions",30720,30720,30720
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gld_transactions","Global Load Transactions",39680,39680,39680
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gst_transactions","Global Store Transactions",2560,2560,2560
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"dram_write_transactions","Device Memory Write Transactions",34,34,34
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gld_requested_throughput","Requested Global Load Throughput",37.786176GB/s,37.786176GB/s,37.785619GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gst_requested_throughput","Requested Global Store Throughput",4.875636GB/s,4.875636GB/s,4.875474GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gld_throughput","Global Load Throughput",37.786176GB/s,37.786176GB/s,37.785619GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gst_throughput","Global Store Throughput",4.875636GB/s,4.875636GB/s,4.875474GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"dram_write_throughput","Device Memory Write Throughput",66.308643MB/s,66.308643MB/s,65.803528MB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"tex_cache_throughput","Unified Cache Throughput",37.786176GB/s,37.786176GB/s,37.785619GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_load_throughput","Shared Memory Load Throughput",234.030507GB/s,234.030507GB/s,234.030187GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_store_throughput","Shared Memory Store Throughput",3.656727GB/s,3.656727GB/s,3.656372GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"tex_cache_transactions","Unified Cache Transactions",19840,19840,19840
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_sp","Floating Point Operations(Single Precision)",3993600,3993600,3993600
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",1986560,1986560,1986560
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",20480,20480,20480
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_executed","Instructions Executed",127000,127000,127000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_issued","Instructions Issued",127120,127120,127120
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_efficiency","Shared Memory Efficiency",198.461538%,198.461538%,198.461538%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_fp_32","FP Instructions(Single)",2007040,2007040,2007040
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_integer","Integer Instructions",1152000,1152000,1152000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_control","Control-Flow Instructions",15360,15360,15360
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_compute_ld_st","Load/Store Instructions",686080,686080,686080
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_misc","Misc Instructions",200960,200960,200960
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"issue_slots","Issue Slots",109400,109400,109400
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"cf_issued","Issued Control-Flow Instructions",560,560,560
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"cf_executed","Executed Control-Flow Instructions",560,560,560
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"ldst_issued","Issued Load/Store Instructions",39360,39360,39360
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"ldst_executed","Executed Load/Store Instructions",22560,22560,22560
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",12.188916%,12.188916%,12.188916%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",37.314797%,37.314797%,37.314797%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",37.575217%,37.575217%,37.575217%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_sync","Issue Stall Reasons (Synchronization)",4.088517%,4.088517%,4.088517%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_other","Issue Stall Reasons (Other)",4.593462%,4.593462%,4.593462%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",1.989691%,1.989691%,1.989691%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.709874%,0.709874%,0.709874%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.111690%,0.111690%,0.111690%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",1.427838%,1.427838%,1.427838%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_read_transactions","L2 Read Transactions",20183,20183,20183
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_write_transactions","L2 Write Transactions",2566,2566,2566
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"ecc_transactions","ECC Transactions",0,0,0
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",37.786176GB/s,37.786176GB/s,37.785619GB/s
"GeForce GTX 950 (0)","mysgemmNT(float const *, int, float const *, int, float*, int, int, float, float)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",4.875636GB/s,4.875636GB/s,4.875474GB/s
