==4249== NVPROF is profiling process 4249, command: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100
==4249== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4249== Profiling application: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100
==4249== Profiling result:
==4249== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",93.507283%,95.372065%,94.478401%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"achieved_occupancy","Achieved Occupancy",0.640103,0.655579,0.647874
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"ipc","Executed IPC",2.338240,2.445970,2.392876
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"issued_ipc","Issued IPC",2.326472,2.429706,2.394127
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_per_warp","Instructions per warp",5023.343750,5023.343750,5023.343750
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"warp_execution_efficiency","Warp Execution Efficiency",98.870167%,98.870167%,98.870167%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",64.829452%,64.829452%,64.829452%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_replay_overhead","Instruction Replay Overhead",0.000398,0.000398,0.000398
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"issue_slot_utilization","Issue Slot Utilization",53.626003%,56.005575%,55.185463%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.918206,0.918206,0.918206
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_transactions_per_request","Global Load Transactions Per Request",3.209251,3.209251,3.209251
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",16384,16384,16384
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",83520,83520,83520
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",198152,198152,198152
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",60480,60480,60480
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",65543,65655,65584
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",61576,62038,61857
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"global_hit_rate","Global Hit Rate",48.092374%,48.092374%,48.092374%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_requested_throughput","Requested Global Load Throughput",44.126880GB/s,44.753716GB/s,44.451095GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_requested_throughput","Requested Global Store Throughput",27.429563GB/s,27.819208GB/s,27.630478GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_throughput","Global Load Throughput",47.388849GB/s,48.062022GB/s,47.736801GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_throughput","Global Store Throughput",27.864953GB/s,28.260783GB/s,28.069131GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"dram_read_throughput","Device Memory Read Throughput",30.197629GB/s,30.652763GB/s,30.438416GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"dram_write_throughput","Device Memory Write Throughput",28.504446GB/s,28.883193GB/s,28.708950GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"tex_cache_throughput","Unified Cache Throughput",47.388849GB/s,48.062022GB/s,47.736801GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_load_throughput","Shared Memory Load Throughput",153.920690GB/s,156.107180GB/s,155.054033GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_store_throughput","Shared Memory Store Throughput",30.194404GB/s,30.623324GB/s,30.416064GB/s
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_efficiency","Global Memory Load Efficiency",93.116590%,93.116590%,93.116590%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_efficiency","Global Memory Store Efficiency",98.437500%,98.437500%,98.437500%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"tex_cache_transactions","Unified Cache Transactions",102856,102856,102856
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Mid (5)","Mid (5)","Mid (5)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_sp","Floating Point Operations(Single Precision)",3810240,3810240,3810240
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",2381400,2381400,2381400
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",476280,476280,476280
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",476280,476280,476280
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_executed","Instructions Executed",1285976,1285976,1285976
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_issued","Instructions Issued",1286488,1286488,1286488
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"dram_utilization","Device Memory Utilization","Mid (6)","High (7)","Mid (6)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",98.697500%,98.697500%,98.697500%
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_fp_32","FP Instructions(Single)",3333960,3333960,3333960
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_integer","Integer Instructions",15201596,15201596,15201596
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_control","Control-Flow Instructions",2211840,2211840,2211840
"GeForce GTX 950 (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_compute_ld_st","Load/Store Instructions",4397776,4397776,4397776
