==18051== NVPROF is profiling process 18051, command: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100 -d 0
==18051== Profiling application: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100 -d 0
==18051== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
618.938691,0.015585,,,,,,,,,,2.000000,125.320821,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
619.045289,5.442303,,,,,,,,,,2.000000,0.358878,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
624.491912,0.011872,,,,,,,,,,2.000000,164.515246,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
624.505608,0.040995,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1171]"
624.548235,0.040578,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1180]"
624.590445,0.039810,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1189]"
624.631887,0.040962,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1198]"
624.674449,0.040002,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1207]"
624.716052,0.040578,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1216]"
624.758262,0.039714,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1225]"
624.799608,0.040194,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1234]"
624.841370,0.039810,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1243]"
624.882780,0.040482,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1252]"
624.924863,0.040002,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1261]"
624.966465,0.039842,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1270]"
625.007939,0.039842,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1279]"
625.049381,0.039810,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1288]"
625.090791,0.039842,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1297]"
625.132233,0.039523,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1306]"
625.173356,0.040866,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1315]"
625.215822,0.039714,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1324]"
625.257136,0.039810,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1333]"
625.298514,0.039394,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1342]"
625.339508,0.039394,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1351]"
625.380503,0.039970,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1360]"
625.422073,0.041058,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1369]"
625.464731,0.039938,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1378]"
625.506301,0.039874,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1387]"
625.547807,0.040099,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1396]"
625.589506,0.039362,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1405]"
625.630500,0.039714,2,32,1,32,4,1,29,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int) [1414]"
