==31105== NVPROF is profiling process 31105, command: ./correlation.exe
==31105== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31105== Profiling application: ./correlation.exe
==31105== Profiling result:
==31105== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",97.756165%,97.756165%,97.756165%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.167194,0.167194,0.167194
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"ipc","Executed IPC",0.139819,0.139819,0.139819
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"issued_ipc","Issued IPC",0.139884,0.139884,0.139884
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",11974.000000,11974.000000,11974.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.974946%,99.974946%,99.974946%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000249,0.000249,0.000249
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",3.420599%,3.420599%,3.420599%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.750000,9.750000,9.750000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",5.000000,5.000000,5.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_transactions","Global Load Transactions",2555904,2555904,2555904
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_transactions","Global Store Transactions",656000,656000,656000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",524954,524954,524954
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",16104,16104,16104
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"global_hit_rate","Global Hit Rate",49.358974%,49.358974%,49.358974%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",48.641161GB/s,48.641161GB/s,48.641115GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",24.344331GB/s,24.344331GB/s,24.343841GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_throughput","Global Load Throughput",60.041433GB/s,60.041433GB/s,60.040504GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_throughput","Global Store Throughput",30.430414GB/s,30.430414GB/s,30.430034GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",24.351475GB/s,24.351475GB/s,24.351291GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"dram_write_throughput","Device Memory Write Throughput",764.958251MB/s,764.958251MB/s,764.846802MB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",48.641161GB/s,48.641161GB/s,48.641115GB/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_efficiency","Global Memory Load Efficiency",81.012658%,81.012658%,81.012658%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_efficiency","Global Memory Store Efficiency",80.000000%,80.000000%,80.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"tex_cache_transactions","Unified Cache Transactions",1048576,1048576,1048576
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
