==2938== NVPROF is profiling process 2938, command: ./gesummv.exe
==2938== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2938== Profiling application: ./gesummv.exe
==2938== Profiling result:
==2938== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",93.033640%,93.033640%,93.033640%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.338468,0.338468,0.338468
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"ipc","Executed IPC",0.047238,0.047238,0.047238
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"issued_ipc","Issued IPC",0.047011,0.047011,0.047011
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"inst_per_warp","Instructions per warp",51749.000000,51749.000000,51749.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.996135%,99.996135%,99.996135%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000063,0.000063,0.000063
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",1.093868%,1.093868%,1.093868%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
