==12950== NVPROF is profiling process 12950, command: ./fdtd2d.exe 0
==12950== Profiling application: ./fdtd2d.exe 0
==12950== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
0.688675,0.001152,,,,,,,,,,0.001907,1.616879,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.688767,43.053630,,,,,,,,,,16.007812,0.363097,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.731910,43.074144,,,,,,,,,,16.007812,0.362924,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.775075,43.056447,,,,,,,,,,16.000000,0.362896,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.818135,0.137575,64,256,1,32,8,1,10,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step1_kernel(float*, float*, float*, float*, int) [1172]"
0.818295,0.148968,64,256,1,32,8,1,10,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step2_kernel(float*, float*, float*, int) [1179]"
0.818460,0.193033,64,256,1,32,8,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step3_kernel(float*, float*, float*, int) [1186]"
0.818669,0.138919,64,256,1,32,8,1,10,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step1_kernel(float*, float*, float*, float*, int) [1194]"
0.818824,0.149191,64,256,1,32,8,1,10,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step2_kernel(float*, float*, float*, int) [1201]"
0.818990,0.192201,64,256,1,32,8,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","fdtd_step3_kernel(float*, float*, float*, int) [1208]"
