==9755== NVPROF is profiling process 9755, command: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==9755== Profiling application: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==9755== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
1.629084,41.429935,,,,,,,,,,15.396168,0.362910,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.670584,0.068068,,,,,,,,,,0.045776,0.656747,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.670711,0.073187,,,,,,,,,,0.045776,0.610812,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.670843,0.073571,,,,,,,,,,0.045776,0.607624,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.670975,0.073412,,,,,,,,,,0.045776,0.608940,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.671105,0.011744,,,,,,,,,,0.022888,1.903248,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.671173,0.012160,,,,,,,,,,0.022888,1.838137,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.671240,0.013249,,,,,,,,,,0.022888,1.687051,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.671309,0.011617,,,,,,,,,,0.022888,1.924055,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.671327,0.406836,6000,1,1,508,1,1,30,0,0,,,"GeForce GTX 1080 Ti (0)","1","13","findRangeK [1207]"
1.671747,0.046946,,,,,,,,,,0.022888,0.476116,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.671818,0.047586,,,,,,,,,,0.022888,0.469713,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.680983,10.264208,,,,,,,,,,3.814697,0.362940,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.691347,41.488338,,,,,,,,,,15.396168,0.362399,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.732851,0.205066,,,,,,,,,,0.076294,0.363326,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.733070,0.204842,,,,,,,,,,0.076294,0.363723,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.733340,0.047490,,,,,,,,,,0.038147,0.784437,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.733446,0.053667,,,,,,,,,,0.038147,0.694149,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.733501,0.411891,10000,1,1,508,1,1,27,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","findK [1258]"
1.733925,0.085444,,,,,,,,,,0.038147,0.435992,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
