==22398== NVPROF is profiling process 22398, command: ./gaussian -s 16 -d 0
==22398== Profiling application: ./gaussian -s 16 -d 0
==22398== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
569.821162,1.088000,,,,,,,,,,1.000000,0.876539,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
569.830507,0.992000,,,,,,,,,,1.000000,0.961365,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
569.837515,0.960000,,,,,,,,,,0.062500,0.062088,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
569.858220,1.952000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1169]"
569.874285,1.920000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1178]"
569.888622,1.248000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1186]"
569.902062,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1195]"
569.914991,1.248000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1203]"
569.928240,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1212]"
569.941424,1.248000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1220]"
569.954321,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1229]"
569.966898,1.248000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1237]"
569.979698,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1246]"
569.992531,1.216000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1254]"
570.005396,1.216000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1263]"
570.018036,1.217000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1271]"
570.030805,1.216000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1280]"
570.043446,1.216000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1288]"
570.056214,1.217000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1297]"
570.068791,1.216000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1305]"
570.082040,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1314]"
570.094584,1.217000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1322]"
570.107577,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1331]"
570.120282,1.248000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1339]"
570.132986,1.249000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1348]"
570.145691,1.216000,1,1,1,512,1,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan1(float*, float*, int, int) [1356]"
570.158396,1.248000,4,4,1,4,4,1,12,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","Fan2(float*, float*, float*, int, int, int) [1365]"
