==11545== NVPROF is profiling process 11545, command: ./heartwall ../data/heartwall/test.avi 20 0
==11545== Profiling application: ./heartwall ../data/heartwall/test.avi 20 0
==11545== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,GB/s,,,,
598.541454,0.000960,,,,,,,,,,0.000076,0.077610,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
598.553422,0.000832,,,,,,,,,,0.000076,0.089550,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
598.965507,0.000960,,,,,,,,,,0.000118,0.120296,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
598.975364,0.000832,,,,,,,,,,0.000118,0.138803,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
613.778809,0.000960,,,,,,,,,,0.000496,0.504466,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
613.805819,0.001408,,,,,,,,,,0.007782,5.397438,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
617.626398,5.001984,,,,,,,,,,1.861816,0.363492,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
622.637375,0.001120,,,,,,,,,,0.000015,0.013305,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
622.659840,0.006464,51,1,1,256,1,1,40,11.593750,0,,,"GeForce GTX 1080 Ti (0)","1","7","kernel(void) [1790]"
626.046029,5.008417,,,,,,,,,,1.861816,0.363025,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
631.063086,0.000832,,,,,,,,,,0.000015,0.017910,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
631.076463,6.065686,51,1,1,256,1,1,40,11.593750,0,,,"GeForce GTX 1080 Ti (0)","1","7","kernel(void) [1794]"
637.193960,5.003680,,,,,,,,,,1.861816,0.363369,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
642.206888,0.000864,,,,,,,,,,0.000015,0.017247,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
642.219465,6.060438,51,1,1,256,1,1,40,11.593750,0,,,"GeForce GTX 1080 Ti (0)","1","7","kernel(void) [1798]"
648.333026,5.008288,,,,,,,,,,1.861816,0.363034,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
653.349411,0.000864,,,,,,,,,,0.000015,0.017247,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
653.360099,6.023316,51,1,1,256,1,1,40,11.593750,0,,,"GeForce GTX 1080 Ti (0)","1","7","kernel(void) [1802]"
