==23697== NVPROF is profiling process 23697, command: cuda/lud_cuda -s 256 -v -d 0
==23697== Profiling application: cuda/lud_cuda -s 256 -v -d 0
==23697== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,KB,B,KB,MB/s,,,,
572.533014,678.628000,,,,,,,,,,256.000000,368.390340,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
573.275389,52.451000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1165]"
573.336352,53.187000,15,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1170]"
573.397924,53.314000,15,15,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1175]"
573.459879,53.507000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1180]"
573.521546,53.411000,14,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1185]"
573.583085,53.475000,14,14,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1190]"
573.645201,53.378000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1195]"
573.706740,53.315000,13,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1200]"
573.768247,53.539000,13,13,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1205]"
573.829978,53.187000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1210]"
573.891518,53.186000,12,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1215]"
573.953313,53.283000,12,12,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1220]"
574.015140,53.763000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1225]"
574.077447,53.347000,11,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1230]"
574.138699,53.282000,11,11,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1235]"
574.200014,53.315000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1240]"
574.261425,53.379000,10,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1245]"
574.322804,53.347000,10,10,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1250]"
574.384088,53.378000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1255]"
574.445627,53.347000,9,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1260]"
574.506846,53.635000,9,9,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1265]"
574.568321,52.227000,1,1,1,16,1,1,32,1.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_diagonal(float*, int, int) [1270]"
574.628356,49.667000,8,1,1,32,1,1,56,3.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_perimeter(float*, int, int) [1275]"
574.685927,47.395000,8,8,1,16,16,1,20,2.000000,0,,,"GeForce GTX 1080 Ti (0)","1","13","lud_internal(float*, int, int) [1280]"
