==492== NVPROF is profiling process 492, command: ./needle 2048 10 0
==492== Profiling application: ./needle 2048 10 0
==492== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
650.438742,43.109778,,,,,,,,,,16.015629,371.508032,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
693.642765,43.232696,,,,,,,,,,16.015629,370.451771,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
736.880742,0.008032,1,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1169]"
736.890182,0.006144,2,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1177]"
736.897959,0.006208,3,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1185]"
736.905799,0.006208,4,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1193]"
736.913607,0.006273,5,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1201]"
736.921448,0.006080,6,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1209]"
736.929160,0.005760,7,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1217]"
736.936521,0.005984,8,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1225]"
736.944105,0.005952,9,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1233]"
736.951657,0.005953,10,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1241]"
736.959210,0.005920,11,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1249]"
736.966730,0.006048,12,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1257]"
736.974442,0.005761,13,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1265]"
736.981963,0.005888,14,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1273]"
736.989451,0.005889,15,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1281]"
736.996972,0.005952,16,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1289]"
737.004524,0.006080,17,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1297]"
737.012204,0.005889,18,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1305]"
737.019725,0.005888,19,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1313]"
737.027245,0.005856,20,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1321]"
737.034734,0.005888,21,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1329]"
737.042222,0.005984,22,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1337]"
737.049806,0.006017,23,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1345]"
737.057455,0.005920,24,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1353]"
737.065007,0.005888,25,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1361]"
737.072528,0.005984,26,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1369]"
737.080112,0.005824,27,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1377]"
737.087536,0.006081,28,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1385]"
737.095217,0.005280,29,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1393]"
737.102097,0.005312,30,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1401]"
737.109009,0.005377,31,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1409]"
737.115986,0.005472,32,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1417]"
737.122866,0.005344,33,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1425]"
737.129618,0.005345,34,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1433]"
737.136563,0.005472,35,1,1,16,1,1,40,2.128906,0,,,"GeForce GTX 1080 Ti (0)","1","7","needle_cuda_shared_1(int*, int*, int, int, int, int) [1441]"
