==24859== NVPROF is profiling process 24859, command: ./BFS -d 0
==24859== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24859== Profiling application: ./BFS -d 0
==24859== Profiling result:
==24859== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_per_warp","Instructions per warp",418.781250,799.781250,508.375000
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"warp_execution_efficiency","Warp Execution Efficiency",66.682540%,99.818111%,90.111050%
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",63.780868%,98.144728%,88.125977%
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_replay_overhead","Instruction Replay Overhead",0.002501,0.004776,0.004124
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gld_transactions_per_request","Global Load Transactions Per Request",3.007442,3.994024,3.755283
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,1.125000,0.987449
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gld_transactions","Global Load Transactions",4010,8890,5074
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gst_transactions","Global Store Transactions",0,551,112
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_read_transactions","L2 Read Transactions",1020,3028,1515
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_write_transactions","L2 Write Transactions",13,564,125
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"global_hit_rate","Global Hit Rate",65.482893%,74.962594%,71.875123%
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gld_requested_throughput","Requested Global Load Throughput",184.506306MB/s,535.702913MB/s,349.998474MB/s
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,130.981325MB/s,32.424927MB/s
"GeForce GTX 1080 Ti (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"gld_throughput","Global Load Throughput",1.349643GB/s,4.148998GB/s,2.523884GB/s
