==28573== NVPROF is profiling process 28573, command: ./MD5Hash -d 0
==28573== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28573== Profiling application: ./MD5Hash -d 0
==28573== Profiling result:
==28573== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"inst_per_warp","Instructions per warp",2500.254702,2500.254702,2500.254702
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"warp_execution_efficiency","Warp Execution Efficiency",99.999960%,99.999960%,99.999960%
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.799310%,98.799310%,98.799310%
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000049,0.000063,0.000056
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gst_transactions","Global Store Transactions",13,13,13
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"l2_read_transactions","L2 Read Transactions",144,1224,991
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"l2_write_transactions","L2 Write Transactions",26,26,26
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gst_requested_throughput","Requested Global Store Throughput",55.038086KB/s,55.126953KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"gst_throughput","Global Store Throughput",817.716797KB/s,819.030273KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*)",10,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
