==8944== NVPROF is profiling process 8944, command: ./S3D
==8944== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8944== Profiling application: ./S3D
==8944== Profiling result:
==8944== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"sm_efficiency","Multiprocessor Activity",87.341131%,87.549539%,87.439563%
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"achieved_occupancy","Achieved Occupancy",0.335030,0.335203,0.335149
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"ipc","Executed IPC",0.218043,0.218491,0.218269
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"issued_ipc","Issued IPC",0.220779,0.221304,0.221045
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"inst_per_warp","Instructions per warp",1232.000000,1232.000000,1232.000000
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.431818%,99.431818%,99.431818%
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"inst_replay_overhead","Instruction Replay Overhead",0.012613,0.012873,0.012750
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"issue_slot_utilization","Issue Slot Utilization",5.112520%,5.124642%,5.118649%
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void rdsmh_kernel<double>(double const *, double*, double)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
