==8624== NVPROF is profiling process 8624, command: ./Sort
==8624== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8624== Profiling application: ./Sort
==8624== Profiling result:
==8624== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"sm_efficiency","Multiprocessor Activity",86.264435%,88.810077%,87.646306%
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"achieved_occupancy","Achieved Occupancy",0.889349,0.906779,0.898993
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"ipc","Executed IPC",1.711325,1.870166,1.792703
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"issued_ipc","Issued IPC",1.701171,1.880261,1.794771
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"inst_per_warp","Instructions per warp",70.875000,70.875000,70.875000
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"warp_execution_efficiency","Warp Execution Efficiency",97.233245%,97.233245%,97.233245%
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",76.019535%,76.515696%,76.156031%
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"inst_replay_overhead","Instruction Replay Overhead",0.002646,0.002646,0.002646
"GeForce GTX 950 (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",80,"issue_slot_utilization","Issue Slot Utilization",38.190309%,42.210796%,40.291579%
