==22871== NVPROF is profiling process 22871, command: ./Stencil2D -d 0
==22871== Profiling application: ./Stencil2D -d 0
==22871== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,
1.148817,2.782603,,,,,,,,,,1.035278,0.363334,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.151630,0.001664,,,,,,,,,,0.002014,1.182063,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.151636,0.000992,,,,,,,,,,0.002014,1.982816,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.151643,0.002080,,,,,,,,,,0.001961,0.920577,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.151648,0.001824,,,,,,,,,,0.001961,1.049780,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.151660,0.007233,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1180]"
1.151669,0.006656,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1190]"
1.151677,0.006305,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1200]"
1.151685,0.006336,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1210]"
1.151693,0.006304,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1220]"
1.151700,0.006241,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1230]"
1.151708,0.006240,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1240]"
1.151715,0.006241,64,2,1,1,256,1,32,0,10.078125,,,"GeForce GTX 1080 Ti (0)","1","7","void StencilKernel<float>(float*, float*, int, int, float, float, float) [1250]"
