==28851== NVPROF is profiling process 28851, command: ./MD5Hash -d 0
==28851== Profiling application: ./MD5Hash -d 0
==28851== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,B,MB/s,,,,
539.013887,1.056000,,,,,,,,,,4,3.612402,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
539.021215,0.896000,,,,,,,,,,8,8.514949,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
539.028096,0.896000,,,,,,,,,,16,17.029898,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
539.056129,565.214000,2605,1,1,384,1,1,27,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*) [1186]"
539.634592,0.448000,,,,,,,,,,4,8.514949,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
539.644096,1.088000,,,,,,,,,,8,7.012311,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
539.653921,1.056000,,,,,,,,,,16,14.449611,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
540.916035,0.992000,,,,,,,,,,4,3.845461,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
540.923139,0.896000,,,,,,,,,,8,8.514949,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
540.930116,0.832000,,,,,,,,,,16,18.339890,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
540.946917,567.262000,2605,1,1,384,1,1,27,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*) [1231]"
541.527939,0.320000,,,,,,,,,,4,11.920929,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
541.537348,0.960000,,,,,,,,,,8,7.947286,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
541.546884,0.992000,,,,,,,,,,16,15.381844,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
542.267850,0.992000,,,,,,,,,,4,3.845461,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
542.275371,0.960000,,,,,,,,,,8,7.947286,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
542.282443,0.896000,,,,,,,,,,16,17.029898,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
542.298412,563.901000,2605,1,1,384,1,1,27,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","FindKeyWithDigest_Kernel(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int*, unsigned char*, unsigned int*) [1276]"
