==13896== NVPROF is profiling process 13896, command: ./bh 30000 50 0
==13896== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13896== Profiling application: ./bh 30000 50 0
==13896== Profiling result:
==13896== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"sm_efficiency","Multiprocessor Activity",67.273551%,74.567718%,70.221081%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"achieved_occupancy","Achieved Occupancy",0.471443,0.490913,0.488451
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"ipc","Executed IPC",0.878000,1.628555,1.387227
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"issued_ipc","Issued IPC",0.948749,1.608703,1.394788
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"inst_per_warp","Instructions per warp",374.567708,374.567708,374.567708
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"branch_efficiency","Branch Efficiency",99.987318%,99.987318%,99.987318%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"warp_execution_efficiency","Warp Execution Efficiency",99.995481%,99.995481%,99.995481%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.461532%,99.461532%,99.461532%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"inst_replay_overhead","Instruction Replay Overhead",0.008009,0.008009,0.008009
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"issue_slot_utilization","Issue Slot Utilization",23.530278%,39.898032%,34.592641%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gst_transactions_per_request","Global Store Transactions Per Request",3.999867,3.999867,3.999867
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gst_transactions","Global Store Transactions",29999,29999,29999
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"dram_read_transactions","Device Memory Read Transactions",8,44,24
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"dram_write_transactions","Device Memory Write Transactions",18266,23316,19368
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gst_requested_throughput","Requested Global Store Throughput",108.671432GB/s,122.387388GB/s,119.885430GB/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gst_throughput","Global Store Throughput",108.671432GB/s,122.387388GB/s,119.885430GB/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"dram_read_throughput","Device Memory Read Throughput",32.255334MB/s,182.243952MB/s,99.182129MB/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"dram_write_throughput","Device Memory Write Throughput",69.385400GB/s,94.097063GB/s,77.400357GB/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"tex_cache_throughput","Unified Cache Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"tex_cache_transactions","Unified Cache Transactions",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Mid (4)","Low (3)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (2)","Mid (4)","Low (3)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"inst_executed","Instructions Executed",71917,71917,71917
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"inst_issued","Instructions Issued",72493,72493,72493
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"dram_utilization","Device Memory Utilization","High (8)","Max (10)","High (8)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"tex_utilization","Unified Cache Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","ClearKernel1(int, int, int volatile *)",150,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
