==8897== NVPROF is profiling process 8897, command: ./sssp ../../inputs/USA-road-d.FLA.gr
==8897== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8897== Profiling application: ./sssp ../../inputs/USA-road-d.FLA.gr
==8897== Profiling result:
==8897== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"sm_efficiency","Multiprocessor Activity",91.945543%,91.945543%,91.945543%
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"achieved_occupancy","Achieved Occupancy",0.540201,0.540201,0.540201
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"ipc","Executed IPC",1.443610,1.443610,1.443610
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"issued_ipc","Issued IPC",1.422815,1.422815,1.422815
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"inst_per_warp","Instructions per warp",12.996714,12.996714,12.996714
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",99.999138%,99.999138%,99.999138%
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",92.310115%,92.310115%,92.310115%
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.001765,0.001765,0.001765
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"issue_slot_utilization","Issue Slot Utilization",35.570374%,35.570374%,35.570374%
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",3.999910,3.999910,3.999910
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","initialize(unsigned int*, unsigned int)",1,"local_load_transactions","Local Load Transactions",0,0,0
