==13392== NVPROF is profiling process 13392, command: ./accl
==13392== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13392== Profiling application: ./accl
==13392== Profiling result:
==13392== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"sm_efficiency","Multiprocessor Activity",60.011748%,60.595526%,60.273006%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"achieved_occupancy","Achieved Occupancy",0.103156,0.103837,0.103392
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"ipc","Executed IPC",0.330815,0.339309,0.333624
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"issued_ipc","Issued IPC",0.329831,0.339618,0.332832
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"inst_per_warp","Instructions per warp",14103.125000,14103.125000,14103.125000
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"warp_execution_efficiency","Warp Execution Efficiency",88.185450%,88.185492%,88.185475%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.483852%,84.483866%,84.483859%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"inst_replay_overhead","Instruction Replay Overhead",0.000213,0.000213,0.000213
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"issue_slot_utilization","Issue Slot Utilization",6.229979%,6.414835%,6.286660%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gld_transactions_per_request","Global Load Transactions Per Request",24.505327,24.505327,24.505327
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gst_transactions_per_request","Global Store Transactions Per Request",1.773599,1.773599,1.773599
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gld_transactions","Global Load Transactions",526693,526693,526693
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gst_transactions","Global Store Transactions",7215,7215,7215
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"dram_read_transactions","Device Memory Read Transactions",65543,65595,65569
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"dram_write_transactions","Device Memory Write Transactions",15100,15192,15127
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gld_requested_throughput","Requested Global Load Throughput",6.414325GB/s,7.607573GB/s,7.267110GB/s
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gst_requested_throughput","Requested Global Store Throughput",89.976627MB/s,106.714851MB/s,101.089478MB/s
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gld_throughput","Global Load Throughput",51.314601GB/s,60.860583GB/s,58.145262GB/s
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"gst_throughput","Global Store Throughput",719.813025MB/s,853.718811MB/s,814.437866MB/s
"GeForce GTX 950 (0)","findSpansKernel(int*, int*, int const *, int, int)",4,"dram_read_throughput","Device Memory Read Throughput",6.385718GB/s,7.579653GB/s,7.237308GB/s
