==14110== NVPROF is profiling process 14110, command: ./parIIR 10240
==14110== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14110== Profiling application: ./parIIR 10240
==14110== Profiling result:
==14110== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"sm_efficiency","Multiprocessor Activity",96.018736%,96.018736%,96.018736%
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"achieved_occupancy","Achieved Occupancy",0.732007,0.732007,0.732007
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"ipc","Executed IPC",1.756618,1.756618,1.756618
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"issued_ipc","Issued IPC",1.750559,1.750559,1.750559
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"inst_per_warp","Instructions per warp",280390.000000,280390.000000,280390.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"branch_efficiency","Branch Efficiency",91.678044%,91.678044%,91.678044%
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",92.688755%,92.688755%,92.688755%
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",88.993188%,88.993188%,88.993188%
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000008,0.000008,0.000008
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"issue_slot_utilization","Issue Slot Utilization",39.361589%,39.361589%,39.361589%
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"shared_store_transactions","Shared Store Transactions",5263360,5263360,5263360
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"shared_load_transactions","Shared Load Transactions",6553600,6553600,6553600
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void GpuParIIR<int=256>(float*, int, float, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
