==2303== NVPROF is profiling process 2303, command: ./lbm 1 -i ../../datasets/lbm/short/input/120_120_150_ldc.of -o out
==2303== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2303== Profiling application: ./lbm 1 -i ../../datasets/lbm/short/input/120_120_150_ldc.of -o out
==2303== Profiling result:
==2303== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"sm_efficiency","Multiprocessor Activity",99.926416%,99.926416%,99.926416%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.642791,0.642791,0.642791
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"ipc","Executed IPC",0.731181,0.731181,0.731181
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"issued_ipc","Issued IPC",0.732115,0.732115,0.732115
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"inst_per_warp","Instructions per warp",359.683000,359.683000,359.683000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",88.878318%,88.878318%,88.878318%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",85.370833%,85.370833%,85.370833%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000024,0.000024,0.000024
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",15.714080%,15.714080%,15.714080%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",7.500000,7.500000,7.500000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.276316,4.276316,4.276316
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gld_transactions","Global Load Transactions",10800000,10800000,10800000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gst_transactions","Global Store Transactions",5850000,5850000,5850000
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",5400152,5400152,5400152
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",5311739,5311739,5311739
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",39.705646GB/s,39.705646GB/s,39.705075GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",37.720363GB/s,37.720363GB/s,37.719496GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gld_throughput","Global Load Throughput",39.705646GB/s,39.705646GB/s,39.705075GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gst_throughput","Global Store Throughput",43.014450GB/s,43.014450GB/s,43.014064GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",39.706763GB/s,39.706763GB/s,39.706007GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"dram_write_throughput","Device Memory Write Throughput",39.056672GB/s,39.056672GB/s,39.055943GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",42.352689GB/s,42.352689GB/s,42.351894GB/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","performStreamCollide_kernel(float*, float*)",1,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
