==31048== NVPROF is profiling process 31048, command: ./3mm.exe
==31048== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31048== Profiling application: ./3mm.exe
==31048== Profiling result:
==31048== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",98.546088%,98.546088%,98.546088%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.978676,0.978676,0.978676
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"ipc","Executed IPC",0.737914,0.737914,0.737914
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"issued_ipc","Issued IPC",0.737597,0.737597,0.737597
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",2871.000000,2871.000000,2871.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.930338%,99.930338%,99.930338%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000033,0.000033,0.000033
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",18.337173%,18.337173%,18.337173%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.001951,6.001951,6.001951
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gld_transactions","Global Load Transactions",50397184,50397184,50397184
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gst_transactions","Global Store Transactions",16777216,16777216,16777216
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",785100,785100,785100
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",48579,48579,48579
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"global_hit_rate","Global Hit Rate",58.322497%,58.322497%,58.322497%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",138.560223GB/s,138.560223GB/s,138.559379GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",134.107437GB/s,134.107437GB/s,134.106725GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gld_throughput","Global Load Throughput",167.896225GB/s,167.896225GB/s,167.896040GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gst_throughput","Global Store Throughput",134.107437GB/s,134.107437GB/s,134.106725GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",6.275639GB/s,6.275639GB/s,6.275252GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"dram_write_throughput","Device Memory Write Throughput",397.632153MB/s,397.632153MB/s,396.728516MB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",268.476803GB/s,268.476803GB/s,268.476084GB/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gld_efficiency","Global Memory Load Efficiency",82.527301%,82.527301%,82.527301%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"tex_cache_transactions","Unified Cache Transactions",33587200,33587200,33587200
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"tex_fu_utilization","Texture Function Unit Utilization","High (9)","High (9)","High (9)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_sp","Floating Point Operations(Single Precision)",268435456,268435456,268435456
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",134217728,134217728,134217728
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"inst_executed","Instructions Executed",23519232,23519232,23519232
