==31086== NVPROF is profiling process 31086, command: ./bicg.exe
==31086== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31086== Profiling application: ./bicg.exe
==31086== Profiling result:
==31086== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",98.158384%,98.158384%,98.158384%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.332521,0.332521,0.332521
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"ipc","Executed IPC",0.247475,0.247475,0.247475
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"issued_ipc","Issued IPC",0.247408,0.247408,0.247408
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",22160.000000,22160.000000,22160.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.990975%,99.990975%,99.990975%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000168,0.000168,0.000168
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",6.149485%,6.149485%,6.149485%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.000000,6.000000,6.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gld_transactions","Global Load Transactions",6291456,6291456,6291456
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gst_transactions","Global Store Transactions",2097664,2097664,2097664
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",2097792,2097792,2097792
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",16353,16353,16353
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"global_hit_rate","Global Hit Rate",58.333333%,58.333333%,58.333333%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",48.113027GB/s,48.113027GB/s,48.112124GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",46.666447GB/s,46.666447GB/s,46.665780GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gld_throughput","Global Load Throughput",58.318820GB/s,58.318820GB/s,58.318488GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"gst_throughput","Global Store Throughput",46.666447GB/s,46.666447GB/s,46.665780GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",46.669294GB/s,46.669294GB/s,46.668574GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"dram_write_throughput","Device Memory Write Throughput",372.534246MB/s,372.534246MB/s,371.932983MB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",93.310113GB/s,93.310113GB/s,93.309209GB/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","bicg_kernel1(float*, float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
