==31975== NVPROF is profiling process 31975, command: ./fdtd2d.exe
==31975== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31975== Profiling application: ./fdtd2d.exe
==31975== Profiling result:
==31975== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"sm_efficiency","Multiprocessor Activity",99.448250%,99.547342%,99.523882%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"achieved_occupancy","Achieved Occupancy",0.875726,0.885716,0.882528
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"ipc","Executed IPC",0.977532,1.183718,0.981381
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"issued_ipc","Issued IPC",0.977783,1.182980,0.981607
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_per_warp","Instructions per warp",34.996582,34.996582,34.996582
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.286551%,94.286551%,94.286551%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_replay_overhead","Instruction Replay Overhead",0.000221,0.000230,0.000226
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"issue_slot_utilization","Issue Slot Utilization",23.048598%,27.885574%,23.138748%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions_per_request","Global Load Transactions Per Request",7.999349,7.999349,7.999349
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions","Global Load Transactions",3144448,3144448,3144448
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions","Global Store Transactions",524288,524288,524288
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_read_transactions","Device Memory Read Transactions",1048327,1048471,1048347
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_write_transactions","Device Memory Write Transactions",522687,524885,524172
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"global_hit_rate","Global Hit Rate",50.002035%,50.002035%,50.002035%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_requested_throughput","Requested Global Load Throughput",86.975897GB/s,87.383549GB/s,87.335706GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_requested_throughput","Requested Global Store Throughput",29.005981GB/s,29.141931GB/s,29.125251GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_throughput","Global Load Throughput",86.978995GB/s,87.386662GB/s,87.338500GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_throughput","Global Store Throughput",29.005981GB/s,29.141931GB/s,29.125251GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_read_throughput","Device Memory Read Throughput",57.999515GB/s,58.271356GB/s,58.239326GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_write_throughput","Device Memory Write Throughput",29.018761GB/s,29.162684GB/s,29.118732GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"tex_cache_throughput","Unified Cache Throughput",86.989618GB/s,87.397334GB/s,87.349676GB/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_efficiency","Global Memory Load Efficiency",99.996438%,99.996438%,99.996438%
