==3703== NVPROF is profiling process 3703, command: ./syrk.exe
==3703== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3703== Profiling application: ./syrk.exe
==3703== Profiling result:
==3703== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",99.767671%,99.767671%,99.767671%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.994214,0.994214,0.994214
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"ipc","Executed IPC",0.149885,0.149885,0.149885
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"issued_ipc","Issued IPC",0.149832,0.149832,0.149832
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"inst_per_warp","Instructions per warp",5681.000000,5681.000000,5681.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.964795%,99.964795%,99.964795%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000004,0.000004,0.000004
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",3.702952%,3.702952%,3.702952%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",17.995120,17.995120,17.995120
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gld_transactions","Global Load Transactions",1208221696,1208221696,1208221696
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gst_transactions","Global Store Transactions",134348800,134348800,134348800
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",14838892,14838892,14838892
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",146359,146359,146359
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"global_hit_rate","Global Hit Rate",8.342374%,8.342374%,8.342374%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",28.597808GB/s,28.597808GB/s,28.597191GB/s
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",27.732027GB/s,27.732027GB/s,27.731992GB/s
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gld_throughput","Global Load Throughput",228.593071GB/s,228.593071GB/s,228.592195GB/s
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"gst_throughput","Global Store Throughput",27.732027GB/s,27.732027GB/s,27.731992GB/s
"GeForce GTX 950 (0)","syrk_kernel(float, float, float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",3.063016GB/s,3.063016GB/s,3.062189GB/s
