==8819== NVPROF is profiling process 8819, command: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt
==8819== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8819== Profiling application: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt
==8819== Profiling result:
==8819== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","findRangeK",1,"sm_efficiency","Multiprocessor Activity",99.799026%,99.799026%,99.799026%
"GeForce GTX 950 (0)","findRangeK",1,"achieved_occupancy","Achieved Occupancy",0.946896,0.946896,0.946896
"GeForce GTX 950 (0)","findRangeK",1,"ipc","Executed IPC",1.517161,1.517161,1.517161
"GeForce GTX 950 (0)","findRangeK",1,"issued_ipc","Issued IPC",1.514702,1.514702,1.514702
"GeForce GTX 950 (0)","findRangeK",1,"inst_per_warp","Instructions per warp",235.137979,235.137979,235.137979
"GeForce GTX 950 (0)","findRangeK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","findRangeK",1,"warp_execution_efficiency","Warp Execution Efficiency",97.675457%,97.675457%,97.675457%
"GeForce GTX 950 (0)","findRangeK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",86.483643%,86.483643%,86.483643%
"GeForce GTX 950 (0)","findRangeK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000036,0.000036,0.000036
"GeForce GTX 950 (0)","findRangeK",1,"issue_slot_utilization","Issue Slot Utilization",34.143547%,34.143547%,34.143547%
"GeForce GTX 950 (0)","findRangeK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.641396,4.641396,4.641396
"GeForce GTX 950 (0)","findRangeK",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.117647,0.117647,0.117647
"GeForce GTX 950 (0)","findRangeK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"gld_transactions","Global Load Transactions",10731529,10731529,10731529
"GeForce GTX 950 (0)","findRangeK",1,"gst_transactions","Global Store Transactions",60000,60000,60000
"GeForce GTX 950 (0)","findRangeK",1,"dram_read_transactions","Device Memory Read Transactions",714094,714094,714094
"GeForce GTX 950 (0)","findRangeK",1,"dram_write_transactions","Device Memory Write Transactions",23350,23350,23350
"GeForce GTX 950 (0)","findRangeK",1,"global_hit_rate","Global Hit Rate",59.779347%,59.779347%,59.779347%
"GeForce GTX 950 (0)","findRangeK",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","findRangeK",1,"gld_requested_throughput","Requested Global Load Throughput",47.237755GB/s,47.237755GB/s,47.237612GB/s
"GeForce GTX 950 (0)","findRangeK",1,"gst_requested_throughput","Requested Global Store Throughput",239.469584MB/s,239.469584MB/s,239.372253MB/s
"GeForce GTX 950 (0)","findRangeK",1,"gld_throughput","Global Load Throughput",74.769995GB/s,74.769995GB/s,74.769370GB/s
"GeForce GTX 950 (0)","findRangeK",1,"gst_throughput","Global Store Throughput",1.039365GB/s,1.039365GB/s,1.039356GB/s
"GeForce GTX 950 (0)","findRangeK",1,"dram_read_throughput","Device Memory Read Throughput",12.370066GB/s,12.370066GB/s,12.369826GB/s
"GeForce GTX 950 (0)","findRangeK",1,"dram_write_throughput","Device Memory Write Throughput",414.193688MB/s,414.193688MB/s,413.894653MB/s
"GeForce GTX 950 (0)","findRangeK",1,"tex_cache_throughput","Unified Cache Throughput",165.197358GB/s,165.197358GB/s,165.197067GB/s
"GeForce GTX 950 (0)","findRangeK",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","findRangeK",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","findRangeK",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","findRangeK",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","findRangeK",1,"gld_efficiency","Global Memory Load Efficiency",63.177422%,63.177422%,63.177422%
"GeForce GTX 950 (0)","findRangeK",1,"gst_efficiency","Global Memory Store Efficiency",22.500000%,22.500000%,22.500000%
"GeForce GTX 950 (0)","findRangeK",1,"tex_cache_transactions","Unified Cache Transactions",9536444,9536444,9536444
"GeForce GTX 950 (0)","findRangeK",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","findRangeK",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","findRangeK",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","findRangeK",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","findRangeK",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","findRangeK",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Mid (4)","Mid (4)","Mid (4)"
"GeForce GTX 950 (0)","findRangeK",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
