==12584== NVPROF is profiling process 12584, command: ./heartwall ../data/heartwall/test.avi 20
==12584== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12584== Profiling application: ./heartwall ../data/heartwall/test.avi 20
==12584== Profiling result:
==12584== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","kernel(void)",20,"sm_efficiency","Multiprocessor Activity",80.643149%,95.939304%,89.968444%
"GeForce GTX 950 (0)","kernel(void)",20,"achieved_occupancy","Achieved Occupancy",0.577726,0.684125,0.625269
"GeForce GTX 950 (0)","kernel(void)",20,"ipc","Executed IPC",1.489942,2.577682,1.577786
"GeForce GTX 950 (0)","kernel(void)",20,"issued_ipc","Issued IPC",1.504047,2.766299,1.622068
"GeForce GTX 950 (0)","kernel(void)",20,"inst_per_warp","Instructions per warp",989.375000,724330.205882,687340.298897
"GeForce GTX 950 (0)","kernel(void)",20,"branch_efficiency","Branch Efficiency",78.245641%,99.242424%,79.295837%
"GeForce GTX 950 (0)","kernel(void)",20,"warp_execution_efficiency","Warp Execution Efficiency",80.164807%,98.802906%,81.097915%
"GeForce GTX 950 (0)","kernel(void)",20,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",76.954891%,91.371217%,77.676551%
"GeForce GTX 950 (0)","kernel(void)",20,"inst_replay_overhead","Instruction Replay Overhead",0.000007,0.003211,0.000167
"GeForce GTX 950 (0)","kernel(void)",20,"issue_slot_utilization","Issue Slot Utilization",31.007246%,66.443180%,33.911179%
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,1.014372,0.963653
"GeForce GTX 950 (0)","kernel(void)",20,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,1.000000,0.950000
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel(void)",20,"gld_transactions_per_request","Global Load Transactions Per Request",5.926629,6.567195,6.535086
"GeForce GTX 950 (0)","kernel(void)",20,"gst_transactions_per_request","Global Store Transactions Per Request",4.736695,7.222339,7.097244
"GeForce GTX 950 (0)","kernel(void)",20,"shared_store_transactions","Shared Store Transactions",0,5151,4893
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_transactions","Shared Load Transactions",0,37182724,35323543
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","kernel(void)",20,"gld_transactions","Global Load Transactions",74960,266331543,252914182
"GeForce GTX 950 (0)","kernel(void)",20,"gst_transactions","Global Store Transactions",20292,6692367,6339857
"GeForce GTX 950 (0)","kernel(void)",20,"dram_read_transactions","Device Memory Read Transactions",10264,4106707,3753026
"GeForce GTX 950 (0)","kernel(void)",20,"dram_write_transactions","Device Memory Write Transactions",18336,4741944,4415292
"GeForce GTX 950 (0)","kernel(void)",20,"global_hit_rate","Global Hit Rate",50.144976%,58.963447%,50.586032%
"GeForce GTX 950 (0)","kernel(void)",20,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","kernel(void)",20,"gld_requested_throughput","Requested Global Load Throughput",21.971988GB/s,113.435281GB/s,112.108886GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gst_requested_throughput","Requested Global Store Throughput",4.439306GB/s,20.669709GB/s,4.478730GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gld_throughput","Global Load Throughput",38.316026GB/s,167.071589GB/s,165.118836GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gst_throughput","Global Store Throughput",8.216703GB/s,25.275797GB/s,8.301809GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"dram_read_throughput","Device Memory Read Throughput",4.696617GB/s,12.784880GB/s,4.913658GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"dram_write_throughput","Device Memory Write Throughput",5.611159GB/s,22.839396GB/s,5.780719GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"tex_cache_throughput","Unified Cache Throughput",62.255290GB/s,177.679592GB/s,175.605528GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,187.223941GB/s,185.030513GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,26.559023MB/s,24.795532MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gld_efficiency","Global Memory Load Efficiency",57.344121%,67.896225%,67.368584%
"GeForce GTX 950 (0)","kernel(void)",20,"gst_efficiency","Global Memory Store Efficiency",53.947871%,81.776685%,55.343310%
"GeForce GTX 950 (0)","kernel(void)",20,"tex_cache_transactions","Unified Cache Transactions",49980,141216858,134097191
"GeForce GTX 950 (0)","kernel(void)",20,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","kernel(void)",20,"tex_fu_utilization","Texture Function Unit Utilization","Low (3)","Mid (5)","Mid (4)"
