==13002== NVPROF is profiling process 13002, command: ./hotspot 512 2 2 ../data/hotspot/temp_512 ../data/hotspot/power_512 output.out
==13002== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13002== Profiling application: ./hotspot 512 2 2 ../data/hotspot/temp_512 ../data/hotspot/power_512 output.out
==13002== Profiling result:
==13002== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"sm_efficiency","Multiprocessor Activity",98.955794%,98.955794%,98.955794%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"achieved_occupancy","Achieved Occupancy",0.733114,0.733114,0.733114
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"ipc","Executed IPC",0.991922,0.991922,0.991922
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"issued_ipc","Issued IPC",0.993044,0.993044,0.993044
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_per_warp","Instructions per warp",235.255814,235.255814,235.255814
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"warp_execution_efficiency","Warp Execution Efficiency",93.265389%,93.265389%,93.265389%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.199198%,90.199198%,90.199198%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000515,0.000515,0.000515
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"issue_slot_utilization","Issue Slot Utilization",22.873186%,22.873186%,22.873186%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.999042,0.999042,0.999042
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.992629,0.992629,0.992629
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.745809,9.745809,9.745809
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.883721,4.883721,4.883721
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_transactions","Shared Store Transactions",69488,69488,69488
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_transactions","Shared Load Transactions",179396,179396,179396
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_transactions","Global Load Transactions",288320,288320,288320
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_transactions","Global Store Transactions",53760,53760,53760
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"dram_read_transactions","Device Memory Read Transactions",65550,65550,65550
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"dram_write_transactions","Device Memory Write Transactions",38371,38371,38371
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"global_hit_rate","Global Hit Rate",40.094340%,40.094340%,40.094340%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_requested_throughput","Requested Global Load Throughput",8.508724GB/s,8.508724GB/s,8.508563GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_requested_throughput","Requested Global Store Throughput",2.411885GB/s,2.411885GB/s,2.411194GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_throughput","Global Load Throughput",12.713035GB/s,12.713035GB/s,12.712553GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_throughput","Global Store Throughput",3.956998GB/s,3.956998GB/s,3.956258GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"dram_read_throughput","Device Memory Read Throughput",4.824800GB/s,4.824800GB/s,4.824251GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"dram_write_throughput","Device Memory Write Throughput",2.824293GB/s,2.824293GB/s,2.823770GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_cache_throughput","Unified Cache Throughput",8.608827GB/s,8.608827GB/s,8.608215GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_throughput","Shared Memory Load Throughput",52.817686GB/s,52.817686GB/s,52.817166GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_throughput","Shared Memory Store Throughput",20.458624GB/s,20.458624GB/s,20.458363GB/s
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_efficiency","Global Memory Load Efficiency",66.929134%,66.929134%,66.929134%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_efficiency","Global Memory Store Efficiency",60.952381%,60.952381%,60.952381%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_cache_transactions","Unified Cache Transactions",116960,116960,116960
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","High (9)","High (9)","High (9)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"special_fu_utilization","Special Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp","Floating Point Operations(Double Precision)",6173600,6173600,6173600
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",2469440,2469440,2469440
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",1852080,1852080,1852080
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_sp","Floating Point Operations(Single Precision)",16669760,16669760,16669760
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",3745456,3745456,3745456
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",6153472,6153472,6153472
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",617360,617360,617360
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",1893376,1893376,1893376
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_executed","Instructions Executed",3479904,3479904,3479904
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_issued","Instructions Issued",3481691,3481691,3481691
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_efficiency","Shared Memory Efficiency",78.084770%,78.084770%,78.084770%
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_fp_32","FP Instructions(Single)",12883008,12883008,12883008
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_fp_64","FP Instructions(Double)",4321520,4321520,4321520
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_integer","Integer Instructions",47252288,47252288,47252288
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_bit_convert","Bit-Convert Instructions",5124192,5124192,5124192
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_control","Control-Flow Instructions",5680128,5680128,5680128
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_compute_ld_st","Load/Store Instructions",7405840,7405840,7405840
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_misc","Misc Instructions",17776080,17776080,17776080
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"issue_slots","Issue Slots",3207807,3207807,3207807
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"cf_issued","Issued Control-Flow Instructions",288100,288100,288100
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"cf_executed","Executed Control-Flow Instructions",288100,288100,288100
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"ldst_issued","Issued Load/Store Instructions",528900,528900,528900
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"ldst_executed","Executed Load/Store Instructions",408500,408500,408500
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.911269%,2.911269%,2.911269%
