==13181== NVPROF is profiling process 13181, command: ./lavaMD -boxes1d 10
==13181== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==13181== Profiling application: ./lavaMD -boxes1d 10
==13181== Profiling result:
==13181== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"branch_efficiency","Branch Efficiency",99.615636%,99.615636%,99.615636%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l1_cache_local_hit_rate","L1 Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"sm_efficiency","Multiprocessor Activity",99.859774%,99.859774%,99.859774%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"ipc","Executed IPC",0.358078,0.358078,0.358078
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"achieved_occupancy","Achieved Occupancy",0.373591,0.373591,0.373591
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_requested_throughput","Requested Global Load Throughput",955.778831MB/s,955.778831MB/s,955.581665MB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_requested_throughput","Requested Global Store Throughput",413.617101MB/s,413.617101MB/s,412.940979MB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"sm_efficiency_instance","Multiprocessor Activity",99.859774%,99.859774%,99.859774%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"ipc_instance","Executed IPC",0.358078,0.358078,0.358078
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"inst_replay_overhead","Instruction Replay Overhead",2.126410,2.126410,2.126410
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_replay_overhead","Shared Memory Replay Overhead",0.034602,0.034602,0.034602
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"global_replay_overhead","Global Memory Replay Overhead",0.013668,0.013668,0.013668
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"tex_cache_hit_rate","Texture Cache Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"tex_cache_throughput","Texture Cache Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"dram_read_throughput","Device Memory Read Throughput",1.045270GB/s,1.045270GB/s,1.044944GB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"dram_write_throughput","Device Memory Write Throughput",1.566034GB/s,1.566034GB/s,1.565553GB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_throughput","Global Store Throughput",1.615692GB/s,1.615692GB/s,1.614913GB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_throughput","Global Load Throughput",3.455172GB/s,3.455172GB/s,3.454275GB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_efficiency","Shared Memory Efficiency",76.267718%,76.267718%,76.267718%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_efficiency","Global Memory Load Efficiency",27.013929%,27.013929%,27.013929%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_efficiency","Global Memory Store Efficiency",25.000000%,25.000000%,25.000000%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",96.866389%,96.866389%,96.866389%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l2_texture_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l2_l1_read_throughput","L2 Throughput (L1 Reads)",3.455172GB/s,3.455172GB/s,3.454275GB/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"l2_texture_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_memory_overhead","Local Memory Overhead",0.000566%,0.000566%,0.000566%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"issued_ipc","Issued IPC",1.119499,1.119499,1.119499
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"inst_per_warp","Instructions per warp",104824.170000,104824.170000,104824.170000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"issue_slot_utilization","Issue Slot Utilization",26.804060%,26.804060%,26.804060%
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.444759,1.444759,1.444759
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.746843,3.746843,3.746843
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.620377,4.620377,4.620377
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",6.250000,6.250000,6.250000
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_load_transactions","Shared Load Transactions",44782080,44782080,44782080
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_store_transactions","Shared Store Transactions",1016983,1016983,1016983
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_transactions","Global Load Transactions",4960880,4960880,4960880
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_transactions","Global Store Transactions",2195200,2195200,2195200
"GeForce GTX 760 (1)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
