==13522== NVPROF is profiling process 13522, command: cuda/lud_cuda -s 256 -v
==13522== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13522== Profiling application: cuda/lud_cuda -s 256 -v
==13522== Profiling result:
==13522== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"sm_efficiency","Multiprocessor Activity",14.143681%,14.495764%,14.355060%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"achieved_occupancy","Achieved Occupancy",0.015624,0.015626,0.015625
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"ipc","Executed IPC",0.110972,0.122984,0.118814
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"issued_ipc","Issued IPC",0.110599,0.123229,0.118157
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"inst_per_warp","Instructions per warp",2395.000000,2395.000000,2395.000000
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"warp_execution_efficiency","Warp Execution Efficiency",25.514092%,25.514092%,25.514092%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",24.206681%,24.209290%,24.208148%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"inst_replay_overhead","Instruction Replay Overhead",0.002088,0.002088,0.002088
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"issue_slot_utilization","Issue Slot Utilization",2.397465%,2.671236%,2.561302%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.494118,1.494118,1.494118
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.984375,1.984375,1.984375
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gld_transactions_per_request","Global Load Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"shared_store_transactions","Shared Store Transactions",508,508,508
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"shared_load_transactions","Shared Load Transactions",762,762,762
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gld_transactions","Global Load Transactions",64,64,64
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gst_transactions","Global Store Transactions",30,30,30
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"dram_write_transactions","Device Memory Write Transactions",0,96,11
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gld_requested_throughput","Requested Global Load Throughput",53.642543MB/s,53.831789MB/s,53.405762MB/s
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gst_requested_throughput","Requested Global Store Throughput",50.289884MB/s,50.467302MB/s,49.591064MB/s
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gld_throughput","Global Load Throughput",53.642543MB/s,53.831789MB/s,53.405762MB/s
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"gst_throughput","Global Store Throughput",50.289884MB/s,50.467302MB/s,49.591064MB/s
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","lud_diagonal(float*, int, int)",16,"dram_write_throughput","Device Memory Write Throughput",0.000000B/s,161.131201MB/s,18.119812MB/s
