==15969== NVPROF is profiling process 15969, command: ./needle 2048 10
==15969== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15969== Profiling application: ./needle 2048 10
==15969== Profiling result:
==15969== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"sm_efficiency","Multiprocessor Activity",10.981323%,84.646453%,74.950883%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"achieved_occupancy","Achieved Occupancy",0.015624,0.319176,0.161897
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"ipc","Executed IPC",0.071773,0.741730,0.511128
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"issued_ipc","Issued IPC",0.069794,0.743599,0.510202
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"inst_per_warp","Instructions per warp",726.000000,726.000000,726.000000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"warp_execution_efficiency","Warp Execution Efficiency",38.636364%,38.636364%,38.636364%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",37.078168%,37.078168%,37.078168%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"inst_replay_overhead","Instruction Replay Overhead",0.003654,0.004132,0.004086
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"issue_slot_utilization","Issue Slot Utilization",1.539014%,16.395892%,11.250222%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",3.250000,3.250000,3.250000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.100000,3.100000,3.100000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gld_transactions_per_request","Global Load Transactions Per Request",5.157895,5.157895,5.157895
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gst_transactions_per_request","Global Store Transactions Per Request",2.875000,2.875000,2.875000
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"shared_store_transactions","Shared Store Transactions",155,19840,9997
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"shared_load_transactions","Shared Load Transactions",455,58240,29347
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gld_transactions","Global Load Transactions",98,12544,6321
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gst_transactions","Global Store Transactions",46,5888,2967
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"dram_read_transactions","Device Memory Read Transactions",200,8155,4245
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"dram_write_transactions","Device Memory Write Transactions",160,13128,5513
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"global_hit_rate","Global Hit Rate",32.653061%,32.653061%,32.653061%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gld_requested_throughput","Requested Global Load Throughput",139.585655MB/s,8.170984GB/s,6.132759GB/s
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gst_requested_throughput","Requested Global Store Throughput",123.646809MB/s,7.237965GB/s,5.432405GB/s
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gld_throughput","Global Load Throughput",255.021544MB/s,14.928304GB/s,11.205673GB/s
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"gst_throughput","Global Store Throughput",177.742288MB/s,10.404575GB/s,7.810071GB/s
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"dram_read_throughput","Device Memory Read Throughput",772.792558MB/s,14.569105GB/s,11.176802GB/s
"GeForce GTX 950 (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",128,"dram_write_throughput","Device Memory Write Throughput",618.234046MB/s,22.405441GB/s,14.512800GB/s
