==16376== NVPROF is profiling process 16376, command: ./pathfinder 100000 100 20
==16376== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16376== Profiling application: ./pathfinder 100000 100 20
==16376== Profiling result:
==16376== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"sm_efficiency","Multiprocessor Activity",97.258714%,97.941565%,97.563133%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"achieved_occupancy","Achieved Occupancy",0.957511,0.961662,0.959796
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"ipc","Executed IPC",2.541476,2.556252,2.548545
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"issued_ipc","Issued IPC",2.540627,2.565472,2.554077
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"inst_per_warp","Instructions per warp",771.732181,813.000000,804.746436
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",96.222594%,96.428017%,96.263677%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.911914%,91.093249%,90.948181%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000638,0.000672,0.000644
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"issue_slot_utilization","Issue Slot Utilization",53.740067%,54.265595%,54.030436%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.997811,1.000000,0.999562
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.995631,1.000000,0.999126
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_transactions_per_request","Global Load Transactions Per Request",7.462203,8.428093,7.655381
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_transactions_per_request","Global Store Transactions Per Request",4.186921,4.249730,4.237168
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_store_transactions","Shared Store Transactions",139460,148160,146420
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_load_transactions","Shared Load Transactions",278920,296320,292840
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_transactions","Global Load Transactions",580440,618622,588076
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_transactions","Global Store Transactions",15366,15741,15666
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"dram_read_transactions","Device Memory Read Transactions",250007,262578,259517
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"dram_write_transactions","Device Memory Write Transactions",25998,26326,26156
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"global_hit_rate","Global Hit Rate",37.319103%,46.990246%,39.253331%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_requested_throughput","Requested Global Load Throughput",51.111925GB/s,51.355802GB/s,51.258132GB/s
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_requested_throughput","Requested Global Store Throughput",2.228031GB/s,2.360468GB/s,2.257526GB/s
"GeForce GTX 950 (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_throughput","Global Load Throughput",61.867831GB/s,65.158497GB/s,64.425170GB/s
