==27977== NVPROF is profiling process 27977, command: ./backprop 65536
==27977== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27977== Profiling application: ./backprop 65536
==27977== Profiling result:
==27977== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp0_read_sectors",72668,72668,72668
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp1_read_sectors",72672,72672,72672
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp0_write_sectors",74008,74008,74008
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp1_write_sectors",73989,73989,73989
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_write_sector_misses",37010,37010,37010
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_write_sector_misses",36998,36998,36998
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_write_sector_misses",37017,37017,37017
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_write_sector_misses",36997,36997,36997
