==29306== NVPROF is profiling process 29306, command: ./backprop 65536
==29306== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29306== Profiling application: ./backprop 65536
==29306== Profiling result:
==29306== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp0_read_sectors",72925,72925,72925
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp1_read_sectors",72664,72664,72664
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp0_write_sectors",74008,74008,74008
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"fb_subp1_write_sectors",73995,73995,73995
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_write_sector_misses",37021,37021,37021
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_write_sector_misses",37038,37038,37038
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_write_sector_misses",37025,37025,37025
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_write_sector_misses",36991,36991,36991
