==8479== NVPROF is profiling process 8479, command: ./FFT
==8479== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8479== Profiling application: ./FFT
==8479== Profiling result:
==8479== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sm_efficiency","Multiprocessor Activity",68.404380%,72.782930%,70.979638%
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"achieved_occupancy","Achieved Occupancy",0.307966,0.317331,0.313146
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"ipc","Executed IPC",0.156746,0.176870,0.164837
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"issued_ipc","Issued IPC",0.164663,0.175239,0.168636
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_per_warp","Instructions per warp",79.000000,79.000000,79.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",64.556962%,64.556962%,64.556962%
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_replay_overhead","Instruction Replay Overhead",0.025316,0.025316,0.025316
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"issue_slot_utilization","Issue Slot Utilization",3.455888%,3.677850%,3.539272%
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_transactions","Global Load Transactions",32768,32768,32768
